TaxoName,pValue,fdrCorrectedpVal,CohenEffectSize,foldChanges,Mean0_tolerant,mean1_sensitive
TAG56:8-FA18:3,0.015028528005517646,0.18851962336333164,0.2689304449116952,0.4857991489841904,1.042245,2.145423684210526
TAG58:8-FA20:3,0.019974144576230417,0.20527644968101863,0.25790044059248035,0.4450776933023801,1.2330666666666668,2.7704526315789475
TAG60:11-FA22:5,0.021623108600746857,0.2144710655399659,0.30308030591820223,0.573812944659721,1.0615116666666666,1.8499263157894734
TAG60:11-FA22:6,0.0022412579346435665,0.06071208271978013,0.26230962884140124,0.5848645681554535,1.0225033333333333,1.7482736842105266
TAG42:1-FA16:1,0.0030934493227611857,0.23707070718978906,0.3872915284023655,0.34354145701159483,0.9814550000000001,2.856875
TAG46:2-FA14:1,0.003507384799290063,0.24639378215012694,0.35113114921838934,0.32945355962836415,0.97219,2.950916666666666
CE(14:0),0.052173961220150875,0.15221887654951236,0.1954434590615523,0.6776944247322304,1.474495,2.175752
CE(16:0),0.08932226365120512,0.2049583833510085,0.20497254502741485,0.725317969434325,1.228825,1.6941879999999998
CE(16:1),0.022679222449061603,0.10497915614209617,0.3176348787175746,0.6271860831881579,0.9274024999999998,1.478672
CE(17:0),0.016388287075745932,0.09729829179935871,0.34446273818193235,0.5886223457923018,1.03145,1.752312
CE(18:2),0.09721020235985654,0.21270995310185103,0.1549614184622545,0.7765325299194785,1.2660399999999998,1.630376
CE(18:4),0.048991734058374536,0.1469752021751236,0.13233086876243813,0.7530275546909572,1.3749500000000001,1.8258960000000002
CE(22:4),0.0750943513807286,0.18319224296660006,0.17065339992860834,0.7261418150500345,1.5142700000000002,2.085364
DAG(14:0/18:3),0.09189221109865636,0.20749065750733844,0.19646112756919892,0.36371177805003085,1.6007450000000003,4.401135999999999
DAG(16:0/16:1),0.008554085071697647,0.0712789950268863,0.37593964041410755,0.7010099581228542,1.0258075,1.4633280000000002
DAG(16:0/18:3),0.02349356851236546,0.10497915614209617,0.231581995225694,0.4090723094711506,1.525555,3.7293040000000004
DAG(16:0/20:5),0.027009841606625184,0.10919693106678467,0.2818677165838669,0.7646186772345654,1.0550025,1.3797760000000003
DAG(16:0/22:5),0.01966224057392841,0.1024125291243265,0.23177232504812947,0.6809264944345519,1.1640275,1.709476
DAG(16:1/16:1),0.09995998203157681,0.2164949610836957,0.23438411838094766,0.6296150818345542,1.1452925,1.8190359999999999
DAG(16:1/18:0),0.03661604144846841,0.1279301201224267,0.2877570634012607,0.5675368077772832,1.1374549999999999,2.004196
