TaxoName,sensitiveSample_1,sensitiveSample_2,sensitiveSample_3,sensitiveSample_4,sensitiveSample_5,sensitiveSample_6,sensitiveSample_7,sensitiveSample_8,sensitiveSample_9,sensitiveSample_10,sensitiveSample_11,sensitiveSample_12,sensitiveSample_13,tolerantSample_1,tolerantSample_2,tolerantSample_3,tolerantSample_4,tolerantSample_5,tolerantSample_6,tolerantSample_7,tolerantSample_8,tolerantSample_9,tolerantSample_10,tolerantSample_11,tolerantSample_12,tolerantSample_13,tolerantSample_14,tolerantSample_15,tolerantSample_16,tolerantSample_17,tolerantSample_18,tolerantSample_19,tolerantSample_20
MAG(20:3),2.2423,1.4072,1.8762,0.3842,0.6718,0.7525,1.6415,0.9117,1.3679,2.0574,0.8891,0.8668,1.2723,0.6192,1.1446,0.6914,0.7175,1.7718,1.5248,1.1572,1.1325,0.3842,1.2707,1.0402,0.5671,0.8137,0.9188,0.4315,0.6705,0.6783,0.6738,0.5509,1.0343
MAG(20:5),1.7778,1.4371,1.5348,0.4858,1.1161,1.0567,1.4915,1.2655,1.0994,1.508,0.7413,0.7158,1.1243,0.936,1.2474,0.8975,0.6254,1.0601,0.934,0.7053,1.2022,0.553,0.6985,1.0791,0.6318,0.8877,0.9684,0.7027,1.027,1.2103,1.0315,1.1174,1.0361
MAG(22:0),1.1943,2.0642,1.3951,1.168,1.2887,0.8749,3.9934,0.8967,1.2439,0.7129,1.074,2.9745,0.8341,0.585,1.1851,0.5024,0.7584,0.8766,3.247,0.6601,0.8817,0.4259,2.3101,0.7543,0.762,0.5036,0.4668,1.0308,0.7807,0.6873,0.6189,4.914,1.427
MAG(22:1),1.5968,1.2249,1.2453,2.316,1.3172,0.9031,1.1469,1.2044,1.6277,1.2518,0.6861,1.4888,4.284,0.6518,3.8456,0.6639,1.3757,1.2685,3.5808,0.7869,1.2942,0.3506,3.6529,0.8493,1.0,0.6443,0.9101,0.5935,0.8664,0.6078,0.6361,2.0513,1.0583
MAG(22:2),3.51,1.1663,1.6139,0.4404,0.8022,1.3321,1.2234,1.0388,1.6375,4.2094,1.0207,0.9853,1.4966,0.6442,0.994,1.0875,0.9111,4.475,1.2531,0.8928,1.4092,0.5547,1.8364,1.0513,0.9533,0.927,0.994,0.5908,0.9293,0.783,0.802,0.8357,1.2143
MAG(24:0),1.4703,1.631,1.2173,1.5617,0.9709,1.1356,2.739,1.433,2.3365,1.0742,1.1952,2.0309,0.8824,0.4929,1.5197,0.7917,0.7053,0.7366,1.7364,0.8693,1.0029,0.4254,1.6883,0.8156,0.728,0.7494,0.719,1.0656,0.614,0.7591,0.6162,1.8757,1.0539
PE(16:0/15:0),0.3085,9.7871,1.0378,8.0236,1.1791,2.3683,10.0254,0.5694,0.439,16.1,1.3965,10.2904,0.6932,0.3632,0.7997,0.2817,0.4518,2.1038,0.7055,3.7595,0.3151,4.4518,0.6511,4.2452,1.4237,2.5527,2.3495,0.2084,0.7458,0.2644,0.2024,0.6528,0.3382
PE(16:0/16:1),0.3942,4.2044,0.3942,1.1002,0.3942,0.3942,0.4388,0.3942,0.3942,1.8746,0.3942,1.4165,0.3942,0.3942,0.3942,0.3942,0.3942,0.3942,0.3942,0.4481,0.3942,0.3942,0.3942,1.0,0.3942,0.6201,0.3942,0.3942,0.3942,0.3942,0.3942,0.3942,0.3942
PE(16:0/18:2),1.5849,9.3913,0.223,2.1312,1.537,1.2326,0.7997,2.0652,1.4303,1.4881,0.6746,1.7288,0.8146,0.4813,1.5763,0.9237,0.7268,0.223,2.974,1.156,1.6011,1.0214,0.477,0.9997,0.3379,0.7974,1.4992,0.7574,1.3754,0.7813,0.5661,1.4783,0.9865
PE(17:0/18:1),0.6883,1.2378,0.6883,0.6883,0.6883,1.0317,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883,0.6883
PE(O-16:0/16:0),0.7861,6.9189,1.4484,3.8281,1.3473,2.2998,4.6908,1.0188,0.8771,8.5634,1.2712,5.1043,0.8244,0.5468,1.7973,0.4584,0.6289,3.0108,0.8271,2.3532,1.7021,2.6462,0.63,2.7896,1.0,2.3887,1.8959,0.251,1.1489,0.6337,0.7353,0.7054,0.4167
PE(O-16:0/18:1),2.2462,5.0147,1.7212,2.4697,1.4493,1.2973,0.5477,1.2232,0.9999,3.1074,0.5599,1.6001,0.7057,0.9634,0.9988,1.1695,1.0278,1.679,0.7785,1.097,1.1374,1.2198,0.3165,1.5634,0.4483,1.0197,1.4493,0.6717,0.7651,0.9309,1.4386,1.325,0.4497
PE(P-18:0/16:0),2.3508,4.9428,2.0093,0.3024,1.5856,2.2067,3.0301,1.6112,1.8059,2.23,1.1398,0.7734,0.7795,0.791,1.6084,1.0108,0.7954,3.0951,0.9479,0.9505,2.2957,0.4914,1.1867,0.8647,0.3024,1.0992,1.6004,0.6255,1.0702,1.3273,0.7615,0.6317,0.867
PI(16:0/18:2),1.4762,1.2677,2.4703,0.6036,0.6167,2.4275,0.9557,1.1506,3.7249,1.4119,0.8769,1.6385,0.8897,1.0438,2.129,1.1373,1.2444,0.3068,0.8845,1.0037,1.0003,0.7851,1.0533,0.6444,0.3068,0.6886,0.5236,0.6024,2.7651,1.0338,0.3068,2.9176,0.7801
PI(18:2/18:2),1.4829,2.4342,6.0704,0.2925,1.2155,2.7604,5.7535,1.3041,1.8378,1.7329,5.8557,2.8577,1.0117,0.9883,2.2692,0.4801,4.3018,0.2925,1.3861,1.2819,2.1499,0.3481,4.3228,0.591,0.3856,0.2925,0.4785,1.3191,1.1238,0.5732,0.2925,0.756,2.6318
SM(24:0),0.8952,2.0855,1.2013,1.3336,0.9213,1.5554,1.5108,0.7588,1.121,1.2479,1.503,0.8874,0.7008,0.6406,0.9338,0.5979,1.3252,1.4471,1.2783,0.9631,1.0665,0.9103,1.6572,1.1538,0.8783,0.9557,0.6633,0.7475,0.679,0.6171,0.6893,0.778,0.9173
TAG46:1-FA14:1,1.0306,0.8776,1.5579,2.848,0.6364,1.6657,1.1937,1.0708,1.1433,1.2371,0.852,2.9659,0.7166,0.8201,1.4622,0.6009,0.5671,1.7768,0.3399,1.2892,1.4646,0.5689,0.7636,1.2855,2.0782,1.0498,0.4699,0.7698,0.771,0.8231,0.7376,0.9794,0.4678
TAG46:3-FA14:1,1.1183,1.6424,0.9772,2.0793,0.6892,1.354,0.911,1.0366,2.2211,1.1469,1.1158,1.9191,1.4781,0.6141,1.4033,0.5992,0.867,0.7783,0.6182,1.2775,2.0354,0.5759,0.8868,1.1234,1.1367,0.7872,0.5797,1.3063,0.8863,1.0935,1.0993,1.5967,0.7744
TAG46:3-FA16:0,2.2383,1.0482,1.1379,2.459,0.9512,1.7353,1.0774,1.6515,2.7301,1.7792,0.5094,2.1259,1.5975,0.903,2.6064,0.6613,1.5069,1.3037,0.774,0.7639,1.7817,0.5051,1.3761,1.0246,1.125,0.977,0.5177,0.6666,7.7759,0.8572,0.6177,3.6042,1.2115
TAG47:2-FA14:0,1.3939,1.7687,0.96,2.1992,0.4751,2.7745,0.5649,1.4732,1.797,1.4536,1.0227,1.8895,1.0625,0.3393,1.5673,0.5781,1.9505,0.7563,0.3792,2.0191,1.7168,0.674,1.1038,1.0104,1.002,0.742,0.4106,0.3363,1.0562,0.4847,0.4468,1.9023,0.7246
TAG47:2-FA15:0,1.4609,0.587,1.1066,8.9905,0.2374,2.1204,0.7695,1.1221,1.8331,1.1214,1.1893,4.365,1.5848,0.4482,1.5395,0.4456,0.9271,1.0631,0.3078,1.9185,1.0083,0.6847,0.9917,1.7592,2.6499,0.7782,0.6772,0.5695,0.8173,0.6656,0.5165,1.5013,0.3804
TAG47:2-FA18:2,1.7205,0.396,2.2868,2.6861,0.5176,1.9428,0.8214,1.1957,2.0808,1.2181,0.7204,2.2106,1.269,0.5325,1.9645,0.6311,0.878,1.0054,0.3992,1.6869,1.075,0.5086,0.9834,1.1102,1.2849,0.7351,0.4951,1.087,1.7523,0.6914,0.6481,3.5816,0.5911
TAG48:1-FA14:1,0.99,0.9645,1.9808,2.4967,0.7165,2.9691,1.9828,1.4666,1.39,1.4601,0.5676,2.1842,1.0182,0.7654,1.5273,0.7956,0.5063,1.9782,0.363,1.505,1.5217,0.5879,0.9069,1.1841,1.0555,0.9032,0.4981,1.1502,0.884,0.8744,0.7716,1.3115,0.6026
TAG48:1-FA16:0,0.9935,5.7243,1.4743,1.1753,1.7062,3.6319,4.3802,1.1553,2.3155,0.7877,0.4785,2.2096,0.725,0.3881,1.0756,1.5457,0.4757,1.4458,0.6743,1.6538,10.6778,0.6938,0.6868,0.9718,0.6536,0.5257,0.3013,0.3788,6.1593,1.8706,0.669,11.4426,0.5571
TAG48:1-FA18:0,1.3562,0.9832,2.3233,1.1339,0.6475,1.79,1.4368,0.8754,1.2599,1.0331,0.6436,1.288,0.9797,0.9921,1.1057,0.5083,0.8012,1.0164,0.4364,1.0462,1.1115,0.5717,0.991,0.7951,0.5109,0.5924,0.4263,1.8002,11.9769,1.1475,0.6633,28.5242,0.5832
TAG48:3-FA14:0,1.3541,1.041,1.0813,3.0226,0.8256,1.5488,2.9868,1.0123,2.2782,1.331,0.4842,3.2805,1.2515,0.4458,2.4769,0.6577,0.8357,1.0005,0.5919,1.2046,1.4071,0.5297,1.1768,1.0594,1.8076,0.6103,0.5059,0.6612,2.2562,1.2994,0.5384,2.2836,0.7857
TAG48:3-FA16:0,1.5395,1.2967,1.9275,0.219,0.8638,2.3383,3.3516,0.9524,3.4131,1.5193,0.3712,2.2251,1.2001,0.6372,2.3875,0.7199,0.8298,1.1387,0.7521,1.1095,2.0769,0.4934,1.1506,1.0051,0.7878,0.6438,0.5088,0.7059,3.1153,0.591,0.5695,6.1664,0.7705
TAG48:3-FA18:3,3.3539,0.8589,1.0234,2.3669,0.4853,1.8866,0.8948,2.5839,5.1376,4.0973,0.3082,1.556,2.4801,0.6756,3.0681,1.0171,1.1353,0.8704,0.2894,0.81,1.4208,0.5925,0.5538,1.3971,1.0835,0.8668,0.5203,0.5713,3.3022,0.9355,0.7034,2.7313,0.4145
TAG48:4-FA14:0,2.0539,0.3248,1.1685,13.8648,0.584,1.7898,1.1837,1.8212,3.0005,2.1225,0.6418,6.1151,1.7442,0.7197,2.0044,0.7295,1.0059,1.0407,0.6193,1.0269,1.6805,0.5468,0.9015,0.9941,6.4091,0.6982,0.7031,0.7447,0.902,2.0073,0.6815,1.5228,0.8035
TAG48:4-FA14:1,1.8011,0.8085,1.3744,37.5966,0.7766,1.4332,2.2221,1.4524,1.8497,1.5615,0.6411,14.4316,2.4173,0.9085,1.6619,0.8501,0.9147,1.1454,0.5884,1.3634,1.1564,0.5619,0.9486,0.9445,12.4937,0.6178,0.6668,1.2777,0.8624,3.394,0.5868,1.5823,0.7023
TAG48:4-FA16:1,1.5311,1.0666,1.4745,3.3822,0.5453,1.0552,2.3922,1.3117,2.9642,1.2857,0.8084,2.5661,1.5502,0.6203,1.5838,0.6532,0.8476,1.7667,0.4377,1.1263,2.1586,0.6067,1.2589,1.5203,2.024,0.6904,0.505,0.5984,0.9136,1.1305,0.8868,1.9195,0.8237
TAG48:4-FA20:4,2.4721,2.6462,2.2944,6.926,0.6658,1.2114,1.1027,1.0785,1.7564,2.3005,0.8274,3.5773,1.5546,0.5999,1.7549,0.7967,0.8445,1.0498,0.9708,0.7484,1.6482,0.6985,1.0564,0.8213,1.7403,0.8259,0.762,0.9562,2.2416,1.2607,0.7313,1.9119,1.3689
TAG48:5-FA18:2,2.6298,0.6688,1.2786,2.2501,0.6266,1.9918,0.8254,2.0226,6.3814,2.2763,0.5275,1.5572,1.7322,0.9424,4.3845,0.8464,0.9537,0.7345,0.3975,0.7682,0.8097,0.5288,0.6973,1.0796,1.0058,1.1398,0.5344,0.3712,5.5743,0.5678,0.9108,2.4123,0.6472
TAG48:5-FA18:3,1.9733,1.0539,0.8796,8.1969,0.6498,1.4273,1.3084,2.1571,3.7344,3.0739,0.88,6.4084,1.9931,0.8612,3.3616,0.5667,0.7795,0.8363,0.8485,0.7379,1.3976,0.4027,1.0009,1.311,3.7995,0.6684,0.4367,0.4573,10.7759,0.785,0.565,2.5115,0.8936
TAG49:0-FA15:0,0.9784,5.644,0.9925,1.7925,0.6116,9.2717,0.7287,4.6336,0.9856,0.8194,1.6001,1.3773,1.3751,0.3347,4.3257,0.708,0.7874,1.6433,0.5753,1.9784,7.114,0.7948,1.064,1.0659,0.813,1.0075,0.4349,0.4385,0.8625,0.7811,0.6052,1.7395,0.6338
TAG49:1-FA15:0,1.1933,2.447,1.7386,0.9401,0.6423,3.6278,1.403,1.2239,1.7067,0.7601,1.7091,1.8089,1.005,0.3129,2.441,0.6762,0.562,0.9193,1.2848,3.25,1.9654,0.9268,0.6663,1.0099,0.5908,0.5992,0.5276,0.3849,1.4991,0.6042,0.3985,2.2674,0.9276
TAG49:1-FA16:0,1.5003,2.733,2.316,1.1022,0.8417,4.6551,1.9034,0.9965,1.4692,0.7203,0.8479,2.4739,1.2684,0.3247,2.2659,0.7586,0.7663,1.8328,0.8937,2.3453,4.5936,0.8463,1.8245,1.2734,0.7884,0.7423,0.3323,0.5152,1.6524,0.8303,0.5433,2.8387,0.7048
TAG49:1-FA17:0,1.3514,1.143,1.3523,1.9928,0.4824,2.586,1.1838,0.6657,0.7622,1.1161,1.1375,2.4926,0.7462,0.3617,1.0463,0.3834,0.5851,1.9713,0.2967,3.7422,1.1287,0.9801,0.9988,2.2331,1.0983,1.0746,0.4291,0.453,1.0563,0.9038,0.6421,1.726,0.5639
TAG49:2-FA15:0,1.4987,0.9146,1.7085,0.4879,0.8176,3.3489,1.5427,1.1575,3.6374,1.4349,1.04,2.1394,1.0739,0.388,6.2109,0.5852,0.4588,0.7961,1.2123,1.9499,0.8267,0.547,0.584,1.0523,0.6641,0.4276,0.3913,0.2842,1.5802,0.4842,0.5308,3.3735,0.7922
TAG49:2-FA17:0,1.5035,0.6842,1.0585,2.8396,0.3561,1.6221,1.0014,0.8416,1.8679,1.53,0.8728,2.2278,0.9124,0.4659,1.4277,0.4337,0.6201,1.2867,0.2907,2.1281,0.862,0.6152,1.1321,1.6087,1.4657,0.7803,0.6172,0.6217,0.6152,0.8802,0.6915,1.772,0.6011
TAG49:3-FA15:0,1.5673,1.0664,1.4305,22.3041,0.5968,1.5001,1.4309,1.7651,3.0891,2.015,1.1093,10.4196,1.6539,0.5339,3.4355,0.4559,0.8447,0.6779,0.5777,1.2871,1.4452,0.3858,1.0605,1.1926,7.19,0.5615,0.5112,0.429,0.7304,1.6493,0.4641,1.1379,1.09
TAG49:3-FA16:0,2.3947,0.8946,1.197,1.5307,1.0539,2.1153,1.2679,2.3831,3.245,1.7102,0.6751,7.5307,2.8989,0.7317,4.935,0.7804,2.2721,1.0359,1.4068,0.8437,2.0134,0.3567,1.963,1.3359,1.171,0.4778,0.3138,0.2837,1.16,0.6364,0.6507,1.6263,2.349
TAG49:3-FA18:3,2.1253,1.2896,1.4251,5.9003,0.7579,1.9452,1.0898,1.7659,4.0197,3.0719,0.7005,4.1549,1.7389,0.6581,3.4302,0.6549,0.9675,1.0979,1.4792,0.8543,1.4905,0.511,1.1311,1.4752,2.2516,0.615,0.7454,0.5866,0.8806,0.8828,0.8455,1.7396,0.8813
TAG50:1-FA14:0,3.0161,2.9206,2.8004,0.9219,1.5444,6.4615,2.3078,1.2976,1.2642,0.7878,0.4661,2.4982,0.7574,0.6438,1.2582,1.06,0.6175,1.6661,0.6154,1.4208,2.9398,0.8058,0.7707,0.811,0.7022,0.7179,0.4137,0.5592,6.8336,1.9117,0.3454,14.2173,0.6663
TAG50:1-FA16:1,1.0168,1.8906,1.437,1.4,0.8148,3.416,5.0781,1.1589,3.1822,1.2011,0.3569,2.4288,1.1389,0.7302,1.1604,0.4204,0.6456,1.4962,0.3383,1.563,3.4359,0.8348,0.9213,1.0118,0.6767,0.5027,0.2541,0.3362,1.123,1.8572,0.4811,2.6434,0.4678
TAG50:1-FA18:0,2.3358,1.6127,2.1361,1.2165,1.5856,2.7203,1.7502,1.4649,1.4123,1.2901,0.6991,1.4761,1.2557,1.5071,1.7391,0.9148,1.0039,2.3345,0.3366,0.6634,2.2733,0.6031,1.3136,1.3004,0.9242,0.6848,0.516,1.2472,1.7313,1.6963,0.8683,3.6762,0.8394
TAG50:1-FA20:1,1.7055,0.9665,1.3666,3.136,0.7476,2.663,0.8975,1.5702,1.9874,1.6053,0.8019,5.0071,1.5514,0.6559,2.4562,0.7414,1.9793,1.1955,0.658,1.0346,2.0299,0.5718,2.0183,1.446,1.7338,0.7112,0.4342,0.5818,1.5241,0.8042,0.5147,2.6779,1.5477
TAG50:2-FA14:1,1.3228,0.7705,3.7084,6.4487,0.6044,1.9926,3.1376,0.9356,1.5144,1.0013,0.6077,3.7409,0.7963,0.7839,1.4352,1.0782,0.4836,1.4715,0.3822,1.243,0.9131,0.5369,0.7772,0.9607,2.4926,0.6285,0.6198,1.4419,1.2661,1.2661,0.5305,2.843,0.6755
TAG50:2-FA18:0,1.9314,1.0101,3.8896,25.1846,0.4726,2.1707,1.7156,0.8607,2.918,1.1127,2.7504,8.4925,1.9143,0.5001,1.2917,0.8997,0.8578,1.2657,0.1744,0.6219,1.7438,0.8592,1.8704,2.3772,5.0297,0.408,0.5217,1.2626,1.8664,1.7491,0.5812,3.0664,0.5238
TAG50:2-FA18:1,1.3273,0.9861,2.9348,1.5042,1.1117,2.2473,6.9698,0.5029,3.8485,0.9085,0.3019,3.7783,0.9882,0.4307,1.3437,0.9201,0.5393,1.3328,0.5773,1.1689,2.0103,0.7002,0.8269,0.8104,0.9785,0.3975,0.283,0.8149,4.3602,1.8925,0.4559,14.6584,0.5835
TAG50:2-FA20:2,2.3243,0.897,1.6621,12.4144,0.6143,1.8324,1.1392,1.687,1.8046,2.0359,1.9273,5.5294,1.9528,0.9096,2.5678,0.7926,1.3337,3.2096,0.541,0.8514,1.5694,0.7048,1.8953,1.7578,3.4722,0.7064,0.7187,0.5533,1.4267,1.5478,0.6137,1.4848,1.5588
TAG50:3-FA16:0,1.1188,6.4383,1.0193,1.1986,2.6844,2.0084,5.8915,2.4693,3.0732,0.9982,0.3432,3.673,0.8974,0.478,5.7692,1.0018,0.7783,1.49,2.0583,1.0769,5.5974,0.6581,0.7007,0.7344,1.1477,0.3357,0.5868,0.3562,4.4367,1.4946,0.8687,4.793,0.7703
TAG50:3-FA18:0,3.5407,1.46,6.1567,1.9152,0.6295,1.2755,2.0196,1.54,1.6535,1.4114,0.7735,1.8112,1.3272,0.7993,1.6128,0.9271,1.6538,0.9589,0.435,0.9528,1.4178,0.536,2.1932,0.6681,0.9857,0.5546,0.7462,1.7316,1.3148,1.1773,0.9308,3.2833,0.9784
TAG50:3-FA18:3,1.2883,12.8913,0.9643,1.6576,3.3843,2.3867,3.304,2.8863,2.7786,0.8303,0.6278,3.4252,0.5964,0.4687,6.4219,1.8987,0.6879,1.4106,2.1464,1.0639,11.3364,0.6581,0.624,0.6942,0.5998,0.4034,0.9455,0.5355,5.0862,1.036,0.8281,2.9796,0.543
TAG50:3-FA20:3,3.9827,0.8299,1.5579,4.4369,0.757,1.3808,1.2659,1.7127,2.1928,4.1814,0.588,2.7072,1.6274,0.9343,2.5148,0.8741,1.0833,1.2782,0.583,1.0193,1.141,0.3943,1.7312,1.7519,1.4068,0.8868,0.5707,0.4557,1.1942,0.8129,1.1988,2.5589,0.9927
TAG50:4-FA16:0,1.4272,1.0068,0.9977,1.7679,1.0657,1.7826,3.5897,1.8401,2.4304,1.6063,0.3135,2.7327,1.9335,0.4722,4.3829,0.635,1.1818,1.0216,1.2825,0.5457,1.0977,0.4997,1.059,0.8571,1.7003,0.4614,0.4805,0.4561,1.9056,1.1612,0.7725,2.5206,0.9639
TAG50:4-FA18:3,1.7021,0.8747,1.1802,3.2044,1.1442,1.4396,3.9509,1.1051,2.1479,1.3458,0.4709,2.7603,1.2929,0.5741,3.3477,0.8648,0.5894,1.2445,0.7523,0.6712,1.0532,0.5556,0.8902,0.8672,1.5209,0.4959,0.7186,0.6806,3.9583,1.3781,0.6814,2.7321,0.4961
TAG50:4-FA20:3,3.3725,0.597,1.7191,3.2397,0.5292,1.4623,0.9261,1.7162,2.7077,4.8779,0.6154,2.3811,2.2511,0.9591,2.7194,1.0244,0.8583,0.8339,0.5485,0.8529,1.0197,0.4791,1.7185,1.8817,1.5954,0.499,0.7432,0.6392,0.6652,0.8738,1.7162,1.8789,0.9721
TAG50:4-FA20:4,4.603,0.748,1.4263,2.8306,0.4661,1.1628,0.8996,1.6204,2.741,4.413,0.5828,2.6889,1.95,1.3672,2.3615,1.2285,0.7516,1.3645,0.4905,0.7338,1.6322,0.4453,1.032,1.2635,2.1914,0.8369,0.7591,0.4872,0.8435,0.8532,1.0591,1.3744,0.8037
TAG50:5-FA14:0,1.5755,0.7007,1.1593,2.0828,1.4046,1.6353,1.3938,1.272,1.3627,1.4073,0.7253,2.8596,0.9982,0.8133,3.7764,0.6853,0.6961,1.1293,1.1439,0.754,0.9246,0.4846,1.3185,0.6725,1.7734,0.6371,0.8593,0.5818,6.9766,0.8902,0.6701,1.7793,0.7218
TAG50:5-FA14:1,1.564,0.6547,2.5094,2.0202,0.9805,1.4528,2.8178,1.3987,1.98,1.3694,0.7089,1.862,0.9298,0.5645,5.079,1.326,0.6364,1.6298,1.5152,1.256,1.178,0.4448,1.3663,0.6428,1.1426,0.5703,0.5169,0.8549,1.6964,0.7493,0.7359,2.9737,0.6762
TAG50:5-FA16:0,1.8705,0.8716,1.3599,2.72,0.4343,1.4317,1.2771,1.6783,1.3804,1.9264,0.737,2.6965,2.4203,0.6016,2.3568,1.2121,1.1019,1.0397,0.7867,0.4208,1.4268,0.4506,1.0169,1.4056,1.4604,0.9749,0.8623,1.2571,0.7775,0.7501,0.6273,1.5862,0.863
TAG50:5-FA16:1,1.2137,1.0394,1.5106,6.2597,0.7171,1.1596,3.0394,1.192,5.9056,1.9136,0.6657,6.3857,2.5466,0.7401,2.9086,0.8156,0.6234,1.6687,0.3534,0.8101,1.7596,0.9365,1.4875,1.2409,3.1848,0.7897,0.5896,0.8138,0.9761,3.015,1.1386,2.0933,0.8266
TAG50:5-FA18:2,2.2727,0.6198,2.2498,1.3698,1.2248,1.7972,2.4296,1.2186,3.5952,1.1493,0.302,1.5006,0.8801,0.5908,3.4487,0.864,0.6591,1.6645,1.0818,1.0581,1.013,0.3417,1.1162,0.4765,0.6547,0.3008,0.5617,0.427,5.0559,0.6214,0.5633,4.8325,0.6437
TAG50:5-FA18:3,1.8429,0.9764,1.4285,5.1527,0.9119,1.6881,1.9106,1.3254,2.9232,1.788,1.3782,5.1371,2.1645,0.6403,4.1123,0.8311,0.927,1.2268,0.8683,0.7217,1.2438,0.6826,1.6895,1.4024,4.0412,0.4994,0.7406,0.7953,5.4346,1.7703,0.5722,1.5715,0.7192
TAG50:5-FA20:4,3.5449,0.57,2.3587,4.3606,0.4013,1.048,0.7733,1.6371,3.4377,5.6622,0.8019,2.8654,2.2142,1.7083,3.9261,1.7247,0.7939,1.0544,0.31,0.7338,1.3231,0.4384,0.9925,2.0683,1.9304,0.6565,0.7349,0.4535,0.9257,0.849,1.7501,1.2183,0.6353
TAG50:5-FA20:5,3.9835,0.8515,1.8428,5.3361,0.5058,1.4617,0.7984,1.8506,1.6853,2.7723,0.5165,6.4704,1.6923,0.9736,2.5383,0.8167,0.853,1.6102,0.4574,0.9136,1.1807,0.6946,1.306,1.0009,3.7282,0.683,0.5423,0.7778,1.009,1.4278,1.1856,1.8498,0.9318
TAG50:6-FA20:4,2.9058,0.6643,1.6134,6.2521,0.4945,0.8726,0.8195,1.594,2.1592,3.7656,0.6935,4.2561,1.9474,1.3582,2.5546,0.7806,0.8147,1.4126,0.7245,0.7656,1.2919,0.4264,1.0341,1.1911,1.9314,0.7448,0.6758,0.7103,1.0725,1.1995,0.77,1.51,0.7957
TAG51:1-FA15:0,1.8535,1.3915,3.1591,1.7128,0.6445,5.1761,1.1593,1.0748,1.6297,0.8676,0.8952,1.3087,1.1379,0.5131,1.9914,0.7179,0.5229,1.1655,0.5468,2.077,1.0966,0.5719,0.6804,1.0546,0.9061,0.9625,0.5622,0.5452,0.9569,1.1471,0.538,3.3115,0.6292
TAG51:1-FA16:0,1.6134,4.8666,1.83,1.6487,1.7195,5.1167,1.8044,1.7423,2.105,0.8431,0.4028,3.2163,0.9592,0.5344,4.1276,0.8531,0.7643,1.2094,2.016,1.0863,6.545,0.5945,0.9417,0.845,0.9946,0.5474,0.3712,0.375,2.5731,1.6536,0.6399,5.7614,0.6729
TAG51:2-FA15:0,1.2732,0.9917,8.5863,1.3203,0.6935,5.647,2.3592,0.6405,2.7228,0.6981,0.5591,2.3841,1.068,0.3739,3.5226,0.6746,0.5164,1.3306,0.9019,2.2557,0.7835,0.5983,0.7162,0.7285,0.7039,0.3814,0.4629,0.9105,1.6129,0.8745,0.3494,14.0569,0.3775
TAG51:3-FA17:0,1.5312,1.1762,1.0247,27.6939,0.8946,1.2875,1.4727,1.4591,1.5322,1.5385,0.5452,11.7718,1.4226,0.6119,2.6044,0.6439,0.8071,1.0916,0.7362,1.1228,1.3873,0.6011,1.0979,1.0283,6.8844,0.5798,0.667,0.5882,1.1299,2.8752,0.7706,2.2092,1.2118
TAG51:3-FA18:3,1.8887,1.606,1.7056,10.0169,0.8585,1.6397,1.2768,1.6331,2.1243,1.8267,0.6742,5.5417,1.2724,0.8467,2.3842,0.8597,0.9847,0.9259,0.9628,0.7789,1.5892,0.5174,1.0776,1.0259,4.0666,0.5821,0.5782,1.1729,1.2266,0.933,0.7448,1.668,0.7683
TAG51:4-FA18:2,1.8927,0.4949,2.9063,0.6511,0.9037,2.2685,1.7778,1.6448,3.0986,0.9804,0.3337,2.7771,1.3928,0.4286,8.1575,0.5071,1.1355,0.7551,1.5688,1.0544,1.2624,0.4337,1.4373,0.7903,1.1468,0.2265,0.3209,0.3058,2.3505,0.5702,0.5602,2.4744,1.2554
TAG51:4-FA18:3,1.7681,1.2863,2.1449,4.3722,0.7863,2.0278,1.8884,0.9731,2.5052,1.5384,0.4969,3.013,1.4778,0.8347,4.9029,0.7902,0.9022,1.0681,1.0895,1.0274,1.082,0.5792,1.0768,0.8406,1.9649,0.7105,0.6511,0.8245,1.6139,0.9307,0.6691,2.3006,0.88
TAG51:4-FA20:4,2.1532,1.2385,1.7661,8.7122,0.7338,1.4659,0.8256,1.11,1.2523,1.9795,0.8777,3.9033,1.4694,0.8584,1.4243,0.9958,0.8998,1.6938,0.7689,0.6129,1.2911,0.7363,1.2506,1.2874,1.8703,0.8086,0.8452,0.7519,0.8944,1.0235,0.6903,1.5987,0.8307
TAG51:5-FA18:2,3.222,0.7839,1.7715,0.5997,0.8818,1.7988,2.0501,2.9215,3.5048,2.4951,1.1403,3.5691,3.1418,0.7171,5.5698,1.1087,1.6761,0.7579,0.8524,1.0423,0.6665,0.2967,0.7802,1.7056,1.5529,0.3888,0.283,0.171,1.052,0.6544,0.7962,1.038,2.1354
TAG51:5-FA18:3,2.2859,0.6753,1.2743,1.2103,0.6219,1.3958,1.5249,1.7597,2.4455,2.0471,0.7762,2.1393,1.6115,0.5608,5.671,0.5171,1.06,0.6372,1.0189,1.2215,1.467,0.3347,1.2389,1.3599,1.5575,0.5009,0.3794,0.4593,0.8107,0.7516,0.5227,1.2154,1.7471
