# Gene Family	3003A	3004A	3005A	3007A	3008A	3009A	3012A	3013A	3014A	3016A	3020A	3021A	3022A	3023A	3025A	3026A	3027A	3028A	3029A	3030A	3031A	3032A	3033A	3036A	3037A	3039A	3042A	3043A	3044A	3046A	3048A	3049A
TAG54:4-FA18:0	0.5792	1.4295	8.7069	2.1157	23.3969	0.771	0.5138	2.4062	4.9713	1.018	0.9286	231.1852	0.266	11.3434	0.0732	6.9615	0.4385	3.085	0.0777	0.3457	5.1521	0.4053	0.8789	1.1265	0.1925	0.1859	1.38	0.3696	0.3316	9.7633	4.5281	7.7879
TAG54:4-FA18:1	1.045	4.3343	4.9896	0.7082	69.1023	0.9626	0.4949	3.7177	3.4479	1.6791	1.4831	118.0072	0.1469	6.7459	0.0714	3.8261	0.4168	3.3214	0.054	0.3514	13.3384	0.3846	1.8748	0.7416	0.3002	0.2873	1.0103	1.1074	0.1764	6.3169	22.5948	9.833
TAG54:4-FA18:2	0.9305	3.4119	6.2118	0.985	69.4931	0.8019	0.4845	2.8979	4.0375	1.2762	1.3136	150.2594	0.1323	8.6812	0.062	4.9074	0.4425	3.452	0.053	0.3495	13.5261	0.3875	1.7793	0.8581	0.276	0.2377	1.1184	0.8237	0.1819	6.3677	17.0827	8.7451
TAG54:4-FA18:3	0.4931	2.0418	6.6894	1.1777	18.7031	2.145	0.5769	1.997	4.1763	1.4083	1.0137	99.5498	0.6373	8.2196	0.1342	3.7199	0.399	2.6582	0.0818	0.366	4.6264	0.4207	1.4002	0.7908	0.2988	0.1851	1.5387	0.5036	0.3663	44.8148	3.7726	6.605
TAG54:4-FA20:1	0.7269	1.3724	2.5348	1.0358	17.4595	1.0651	0.5807	2.2441	2.0899	1.0538	0.9054	36.4653	1.577	3.3254	0.3617	2.1063	0.4051	1.6597	0.3212	0.2922	4.609	0.5908	1.042	0.5762	0.4131	0.2492	0.565	0.6701	0.6346	5.9754	4.6209	2.8513
TAG54:4-FA20:2	0.6256	1.5558	3.1798	1.2795	24.59	0.9208	0.5278	3.1619	3.2421	1.2703	0.8113	63.0424	0.6838	5.9237	0.2605	2.4127	0.4414	1.9987	0.2791	0.3246	7.1162	0.5284	0.9842	0.7807	0.4789	0.2505	0.7172	0.6348	0.619	3.3305	6.686	3.6554
TAG54:4-FA20:3	0.6387	0.8352	1.4298	1.2772	9.188	1.1551	0.5329	3.4779	1.2763	2.2203	1.1074	28.3129	0.9795	5.0916	0.5792	1.3542	0.506	1.2076	0.2992	0.4302	4.2014	0.4876	0.9018	0.6033	0.8904	0.3325	0.6132	0.7181	0.5582	1.174	1.2033	1.514
TAG54:4-FA20:4	0.5258	0.9836	0.8438	1.7921	6.1536	1.216	0.4957	1.3645	1.4203	2.1121	1.5894	5.741	1.3205	4.744	0.7238	1.5545	0.6027	1.0271	0.4462	0.565	3.1404	1.1222	0.9721	0.3544	0.8272	0.5369	0.9657	1.3087	1.121	0.8018	1.5732	0.7848
TAG54:4-FA22:1	0.6983	2.4386	3.3945	1.0334	55.4597	0.9025	0.4967	1.863	2.3414	1.0405	1.107	113.0344	0.4851	4.7821	0.4143	2.7219	0.3782	2.2189	0.2201	0.3678	8.1323	0.4751	1.2929	0.5496	0.3158	0.2872	0.807	0.6815	0.3858	3.902	11.6614	4.4726
TAG54:4-FA22:4	0.7862	1.2917	1.0076	1.9722	2.8076	1.7939	0.5539	1.4178	1.133	1.3452	5.8494	4.0662	1.6084	0.9924	0.8517	0.8222	0.6196	0.6418	0.7878	0.6815	1.1101	0.945	0.8339	0.6797	0.6945	0.5101	0.5243	0.7687	1.158	0.5613	1.1297	1.0344
TAG54:5-FA16:0	0.4814	0.7853	1.8493	1.0985	6.0307	1.6228	0.4451	1.3079	1.7563	1.8983	1.5356	15.4886	1.2782	3.7466	0.7318	1.4949	0.5749	1.117	0.3719	0.5794	3.945	0.908	0.8138	0.4606	0.9455	0.3997	0.7216	0.5809	0.8065	2.2399	1.3397	1.5491
TAG54:5-FA16:1	0.9212	1.3819	4.678	1.3343	29.649	0.7402	0.6372	1.9665	3.6289	1.27	0.9778	99.1092	0.6213	7.3137	0.2971	4.1872	0.3767	2.606	0.2268	0.3514	6.483	0.4318	1.0455	0.8643	0.3391	0.3208	0.9154	0.5002	0.3902	5.3704	5.3855	4.7665
TAG54:5-FA18:0	0.62	0.6111	5.852	2.0868	5.5665	1.6213	0.4169	3.1194	3.3148	1.4282	0.852	24.5186	1.0262	5.1874	0.1499	2.2654	0.3515	2.3072	0.18	0.2731	2.965	0.4765	0.6516	1.0672	0.3444	0.2558	1.4252	0.3955	0.6158	35.6693	1.2746	4.1691
TAG54:5-FA18:1	0.7861	2.0456	7.2778	1.1772	42.1442	1.0024	0.4949	2.6265	5.6232	1.2293	0.9322	126.0568	0.1477	10.2552	0.0519	6.6694	0.4093	3.8828	0.0457	0.3215	9.6541	0.3721	1.2502	1.0119	0.2286	0.1661	1.1124	0.5335	0.2123	13.3495	8.6577	8.7849
TAG54:5-FA18:2	0.7553	1.6488	7.2976	1.2372	40.039	0.4267	0.3845	2.5673	5.8642	1.0419	0.8262	100.3617	0.1032	10.07	0.0328	6.9385	0.4062	3.9711	0.0403	0.3217	9.7272	0.3378	1.0421	1.0818	0.1902	0.1505	1.0249	0.4145	0.2176	6.8225	8.1278	8.275
TAG54:5-FA18:3	0.4694	2.5155	6.6626	0.9865	19.8827	2.6856	0.7387	1.9148	5.3219	1.7709	1.02	74.93	0.2899	8.2036	0.1335	4.0632	0.4001	2.963	0.0654	0.2854	6.2851	0.4126	1.6053	0.9844	0.2432	0.1658	1.5364	0.6022	0.2285	55.0982	3.69	7.208
TAG54:5-FA20:2	0.6591	1.0154	3.898	3.7754	20.7878	0.9662	0.4822	2.8695	3.2873	1.1965	0.9846	69.0622	0.752	5.7911	0.3886	3.2798	0.4277	2.412	0.3612	0.454	5.2362	0.518	0.7821	0.8086	0.3614	0.3288	0.7545	1.1548	0.5385	5.2762	3.7721	4.4045
TAG54:5-FA20:3	0.6173	1.0277	3.4067	1.2246	15.7741	1.5165	0.4778	3.8769	2.7209	1.1729	0.8651	57.907	0.6777	5.7222	0.3996	2.5721	0.443	1.8291	0.2465	0.4071	4.9489	0.4699	0.7958	0.7165	0.6942	0.3354	0.842	0.6216	0.3295	3.4551	2.6175	3.4942
TAG54:5-FA20:4	0.4573	1.1857	0.9244	1.5101	7.4479	1.406	0.4446	2.157	1.2255	2.8697	1.5998	9.3019	0.9705	5.4439	1.0612	1.021	0.6476	0.9705	0.2731	0.6379	4.404	0.7053	0.8116	0.5035	0.8553	0.4584	1.0468	1.1845	0.9165	1.034	1.2754	0.9293
TAG54:5-FA20:5	0.7841	0.8975	1.4984	1.4708	2.6834	1.471	0.572	2.2079	2.4074	0.8273	1.6346	4.5436	1.462	1.1516	0.3646	1.49	0.6123	0.5545	0.6119	0.7291	1.2483	1.0394	0.8514	0.5977	0.7381	0.3725	0.3192	0.4768	1.5993	1.4058	1.3294	0.7383
TAG54:5-FA22:1	0.7655	1.552	6.4955	1.4668	38.8572	0.8422	0.4564	2.2884	5.1734	1.02	0.9289	134.9625	0.4323	9.1866	0.1988	5.1238	0.4714	3.1956	0.157	0.3619	8.345	0.4209	1.0133	1.0391	0.2731	0.2437	1.1059	0.5985	0.3763	10.0865	6.6476	7.2963
TAG54:5-FA22:4	0.6522	1.1688	1.3836	1.7027	3.1981	1.7722	0.5608	1.858	1.5327	1.0752	1.7638	7.0476	1.6484	1.3787	0.6424	1.4694	0.5511	0.6161	0.6684	0.4045	2.1108	0.8377	0.7256	0.7243	0.7379	0.6323	0.4325	0.7295	0.9387	1.1873	1.5308	1.251
TAG54:5-FA22:5	0.705	0.861	0.8239	1.252	2.9222	1.2662	1.5694	1.1626	0.9427	1.1312	0.9362	8.0264	1.3092	0.9544	0.6534	1.1933	0.6709	0.6154	1.0199	0.6119	2.1848	1.0009	1.0837	0.8288	0.7857	0.4899	0.5842	0.7826	0.8765	1.1597	1.5621	0.9579
TAG54:6-FA16:0	0.471	1.047	1.0038	1.2405	3.4321	1.7994	0.5211	3.4362	3.0168	1.225	1.7595	7.5288	1.5344	1.2148	0.3745	1.2726	0.7861	0.5502	0.6891	0.8674	2.0804	0.9495	0.9144	0.576	0.8556	0.3117	0.4336	0.7679	1.1089	0.8798	1.2608	0.7672
TAG54:6-FA16:1	0.7857	0.5827	5.3639	1.8446	12.4671	1.7852	0.4259	2.3551	5.0388	0.9491	1.2976	63.2199	1.2777	7.7237	0.2638	5.4747	0.5743	2.6872	0.3225	0.5713	5.6102	0.5193	0.8002	1.0837	0.3822	0.3593	0.9117	0.3914	0.4839	7.1149	1.9739	5.4046
TAG54:6-FA18:1	0.5065	0.9913	8.5523	1.3769	8.6718	1.4609	0.8697	2.903	6.149	1.4009	0.7296	46.1965	0.482	9.553	0.0958	4.9868	0.428	3.7051	0.0643	0.3231	5.1634	0.5078	1.0216	1.3343	0.2256	0.1671	1.9113	0.3747	0.3191	67.3102	1.5247	7.68
TAG54:6-FA18:2	0.6811	0.8533	10.9606	2.7381	24.2272	0.5469	0.446	3.2075	8.0112	1.0304	0.7207	93.0241	0.1409	13.6545	0.0224	10.7644	0.5351	4.9245	0.0415	0.412	9.3193	0.4282	0.7364	1.4485	0.1401	0.1213	1.5718	0.183	0.3087	12.3791	2.6582	10.4791
TAG54:6-FA18:3	0.5398	0.9506	9.3619	1.4354	10.436	1.5403	0.9615	2.7339	6.5158	1.0858	0.7938	49.8009	0.307	9.652	0.0901	5.699	0.3815	3.9888	0.0544	0.3475	5.2074	0.4061	0.9865	1.5026	0.1729	0.1492	2.0972	0.3715	0.2931	81.3074	1.6075	8.2788
TAG54:6-FA20:3	0.6519	0.7669	5.6717	2.2794	13.4293	1.3538	0.5646	3.7933	4.7935	0.9059	0.7447	60.1302	0.7442	7.1896	0.3456	6.0607	0.5166	2.7037	0.2678	0.3824	5.6747	0.5481	0.6631	0.9869	0.3259	0.3629	1.0025	0.4735	0.4509	7.892	1.7836	5.7322
TAG54:6-FA20:4	0.5178	1.578	1.7558	1.7472	4.5038	1.1292	0.5264	1.406	1.6277	2.2227	1.3487	15.6901	1.033	4.6808	0.8303	1.4888	0.5849	0.9965	0.3781	0.521	4.1231	0.5837	0.888	0.6178	0.7748	0.4438	0.9833	0.8377	0.7114	3.2914	1.0895	1.4106
TAG54:6-FA20:5	0.4852	2.1989	0.7447	1.9533	4.2315	3.9912	0.5956	6.0194	5.4827	1.5151	2.1169	8.2546	2.3102	1.239	0.2625	0.8089	0.6978	0.689	0.2664	1.0424	2.1268	1.5255	0.6082	0.3113	1.0261	0.3997	0.3147	1.2499	2.4504	0.8032	1.2843	0.5768
TAG54:6-FA22:5	0.6827	0.9852	1.5287	1.9506	2.7955	1.5031	0.8677	1.6938	1.577	1.1345	1.6545	7.7584	1.6156	1.4987	0.7833	1.3152	0.5308	0.7526	0.5954	0.4529	1.6747	0.8969	0.9531	0.7468	0.819	0.7137	0.4811	0.6964	0.6563	1.7393	1.5391	1.0757
TAG54:6-FA22:6	0.4643	0.7965	1.2484	1.5595	2.7552	1.1373	0.717	1.6356	1.9264	1.057	1.2389	11.3732	1.3578	1.3451	0.481	1.5076	0.6456	0.9925	0.5366	1.0579	3.4259	0.9596	4.2942	0.6762	0.6854	0.3724	0.6414	0.6235	2.4361	1.5595	1.2134	1.249
TAG54:7-FA16:1	0.7275	0.6217	2.0213	1.6204	2.4433	1.3762	0.7223	1.4161	1.72	1.006	1.5292	4.0316	1.8481	1.9388	0.5823	1.4706	0.7462	1.5333	0.838	0.7228	1.5556	0.7348	1.0962	0.9188	0.7166	0.5092	0.7565	0.7218	0.798	10.9925	1.4809	1.2875
TAG54:7-FA18:1	0.4592	0.936	4.1533	2.2089	2.635	2.3832	1.4896	2.6721	3.7579	1.8374	0.9675	6.4177	0.8722	4.0917	0.2685	1.9652	0.347	1.7376	0.1433	0.3001	2.4675	0.8571	0.8522	0.8106	0.2642	0.2459	1.4903	0.7282	0.3518	172.4264	1.0325	3.2332
TAG54:7-FA18:2	0.6688	0.5564	13.2142	1.4452	6.3164	1.6779	0.93	4.4121	7.5752	0.7816	0.8102	16.5978	0.399	13.393	0.0599	4.9866	0.5392	5.2276	0.0492	0.5061	3.3831	0.4406	0.9146	2.121	0.1625	0.1875	3.3661	0.3471	0.3766	97.2696	0.9837	9.9887
TAG54:7-FA18:3	0.551	0.6016	10.8083	1.4994	4.8754	1.6955	1.1941	3.5689	6.9441	0.8442	0.8143	12.9605	0.3843	10.6488	0.1068	4.2418	0.4098	4.072	0.056	0.3964	2.6777	0.3983	0.8478	1.6313	0.1605	0.1661	2.8983	0.4091	0.2821	136.4396	0.936	7.9602
TAG54:7-FA20:4	0.6096	1.3055	1.8755	1.8837	2.5295	1.1993	0.54	1.451	1.755	1.1971	1.1335	6.0999	1.2734	1.9641	0.7895	1.1608	0.5064	0.8074	0.4925	0.6477	2.1369	0.7835	0.6503	0.6137	0.6126	0.4645	0.7588	0.7977	1.0363	10.3276	0.9776	1.4742
TAG54:7-FA20:5	0.7152	1.3651	1.0957	2.2292	18.4162	1.5612	0.4759	3.004	1.9166	0.7319	1.0651	27.0879	1.5471	1.0582	0.2879	1.237	0.5215	0.9426	0.3895	0.84	3.8291	1.0932	0.6726	0.647	0.7685	0.4977	0.5393	0.4513	1.0739	0.9239	1.8472	1.2733
TAG54:7-FA22:5	0.7848	0.7123	0.8669	1.7381	1.549	1.473	0.5792	1.5123	1.1672	0.7953	1.0871	8.195	1.2534	0.6393	0.5296	0.8378	0.639	0.6167	0.7431	0.8144	1.163	1.1317	0.8651	0.5921	0.707	0.5372	0.3944	0.6381	0.9463	2.6543	2.0282	0.8323
TAG54:7-FA22:6	0.627	0.7217	1.2488	2.0063	2.5212	1.7011	0.596	1.7029	1.5757	0.878	1.3892	5.4302	1.362	0.9871	0.5264	1.7199	0.7512	0.4976	0.861	0.6572	1.9137	0.9668	0.8736	0.7976	1.0542	0.5006	0.4722	0.7844	0.9959	2.3155	1.4394	0.8526
TAG54:8-FA18:2	0.3187	0.4383	4.698	2.4068	1.9073	3.4973	1.6669	1.947	3.2826	0.8943	1.4474	3.7202	1.1354	3.3166	0.2353	1.4777	0.3663	1.8738	0.1363	0.93	1.3771	0.7002	0.9327	1.0568	0.2655	0.3143	2.1573	0.7638	0.4486	255.0281	0.6752	3.0151
TAG54:8-FA18:3	0.2938	0.4919	6.2004	3.1467	1.747	3.4685	2.1366	2.0857	3.4608	0.775	1.7604	2.3478	0.9839	4.4562	0.2137	1.4113	0.2494	2.2898	0.0885	0.291	0.9478	0.3027	0.8059	1.1494	0.2482	0.2582	2.6241	0.4549	0.1875	321.2214	0.7003	4.0111
TAG54:8-FA20:4	0.6956	0.9738	1.0262	1.8	1.7799	1.8595	0.6164	1.334	1.2314	1.118	1.0454	2.1906	1.7625	0.6923	0.7143	1.0534	0.8112	0.6323	0.5934	1.0801	1.1686	1.1157	1.134	0.74	0.5443	0.4965	0.8037	1.1129	0.956	9.4623	1.4112	0.7691
TAG54:8-FA20:5	0.7297	0.8673	1.6395	2.6592	17.533	1.1477	0.5234	3.2917	2.1698	0.9293	0.8056	37.5176	0.9991	0.9679	0.3872	0.9456	0.6024	1.0377	0.4206	0.9855	5.9391	1.2223	0.8571	0.5764	0.5046	0.6009	0.4325	0.5724	0.8354	1.5744	3.0757	1.0824
