# Gene Family	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.22	5500.178	4591.525	2482.338	5987.575	1512.352	829.831	4067.4	5130.173	4893.92	3770.303	2944.517	6030.829	4343.668	6003.573	2724.931	3675.968	4433.329	3111.863	3082.618	2714.47	4518.629	5093.289	5204.339	3204.785	1078.911	3736.441	3615.232	7446.31	1969.339	5025.248	2315.007	3625.822	8301.9
1.1.1.23	5028.054	6274.964	3847.073	2610.779	2109.632	718.451	3016.145	4280.87	5856.317	2352.516	3123.486	5054.483	4604.248	3295.815	1445.054	3224.966	4425.245	5733.57	3463.966	2243.302	5007.691	5311.514	3982.909	5715.039	125.76	3798.663	4208.463	6318.54	3127.065	2476.567	2649.302	4194.288	5828.821
1.1.1.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17	8.772
1.1.1.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.984	0	0
1.1.1.244	117.281	1332.886	26.788	68.64	361.483	0	15.656	713.325	518.415	28.741	41.563	383.636	310.914	114.955	166.623	18.789	285.752	108.722	468.877	83.706	87.07	42.892	65.645	277.153	0	69.727	195.656	579.978	86.19	15.526	296.869	8.485	134.599
1.1.1.25	6115.482	8499.301	3904.613	3107.982	3672.187	429.678	2622.606	4887.511	11295.503	2186.067	3081.757	5694.096	6210.572	5411.049	1614.345	3654.082	7443.885	8949.347	3954.967	2132.751	6390.787	5637.138	4604.68	6646.428	264.522	5670.168	4953.629	8140.75	2694.237	2487.736	3010.778	5734.17	7827.768
1.1.1.251	18.739	332.853	0	17.516	0	0	9.868	277.564	602.012	0	86.823	113.729	47.536	26.621	0	4.082	349.257	107.349	32.971	29.131	14.604	8.88	0	43.839	0	39.342	5.51	5.449	15.036	0	60.73	288.984	2363.176
1.1.1.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.142	22.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.26	0	0	6.83	5.995	0	161.346	73.058	6.784	15.694	30.465	6.799	4.664	0	0	22.738	28.146	0	0	5.214	37.207	0	10.124	13.658	0	42.707	34.868	11.38	12.36	5.402	82.917	7.832	6.716	0
1.1.1.261	483.555	588.057	301.526	291.026	430.754	7.083	97.683	338.563	1106.473	255.82	417.967	468.215	338.943	339.349	175.27	213.387	1308.69	674.129	251.555	243.313	443.474	2375.281	183.139	1546.64	28.431	641.048	481.658	763.338	53.539	7.104	216.058	971.46	509.352
1.1.1.262	744.735	1033.396	479.043	1575.228	311.954	53.471	1247.767	899.82	1412.818	1185.957	428.259	1261.646	1055.26	1080.981	224.056	720.78	449.161	54.407	541.372	658.281	2184.029	528.319	972.332	434.722	68.147	477.374	808.253	2154.661	144.286	1855.733	381.618	479.432	2999.495
1.1.1.264	51.088	414.826	0	0	9.229	0	0	164.736	22.135	3.818	98.837	0	0	0	0	0	58.729	0	0	5.096	12.374	9.45	0	0	0	0	8.964	0	0	0	0	28.23	46.186
1.1.1.266	0	59.39	4.593	93.736	0	0	173.712	0	0	44.689	0	0	35.944	22.058	0	0	0	0	0	41.463	0	0	0	0	0	0	14.806	0	0	0	0	0	9.255
1.1.1.267	5442.589	5933.479	3339.712	3123.879	2230.768	865.495	3241.846	4039.192	5239.438	3265.487	3331.49	5801.925	4792.737	3671.453	1464.03	3435.891	3701.331	5485.23	3600.937	2748.308	5072.716	3961.21	3833.675	4215.904	237.76	4309.825	4538.425	6663.814	3221.045	2693.464	2918.05	4743.19	9434.591
1.1.1.268	905.44	102.388	72.109	0	49.654	0	0	66.816	62.135	37.483	88.227	308.982	28.489	15.754	74.411	44.872	1314.841	34.455	398.989	123.333	238.636	22.514	50.294	65.796	35.144	48.374	189.606	28.847	1496.955	0	23.149	763.068	235.605
1.1.1.269	0	0	0	0	0	28.431	0	0	4.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.27	6179.104	5857.92	2133.451	648.575	2727.604	333.084	1279.654	2887.27	6272.395	925.18	2224.214	4146.884	4737.71	1863.94	1630.633	4428.123	5611.6	6031.502	2006.922	1414.573	4811.283	2809.339	3232.912	5667.244	236.244	3893.715	4999.884	6354.886	3028.111	99.829	1503.729	5276.264	5131.173
1.1.1.271	1835.897	1096.053	1462.922	3081.101	223.995	509.391	3019.478	2372.862	1889.805	1778.201	1249.945	2292.65	1504.536	3927.486	489.894	1058.659	378.857	1541.119	1740.436	1157.391	1414.903	926.197	2690.521	981.225	125.568	1537.104	1019.073	2643.948	772.682	3707.032	1997.947	886.849	4587.011
1.1.1.272	125.558	27.852	28.293	0	75.216	37.643	33.496	56.36	225.341	34.239	39.155	13.283	110.582	11.162	55.212	121.349	360.508	108.008	0	70.793	32.301	70.478	5.538	82.231	23.752	66.685	53.837	125.692	8.842	0	32.467	54.501	118.584
1.1.1.274	957.751	1617.319	447.237	767.94	219.08	73.813	357.585	726.297	746.644	280.736	279.988	283.294	1148.781	581.19	201.452	249.384	1429.215	342.967	638.224	375.708	520.728	165.54	575.136	835.606	9.91	400.646	1175.658	658.264	901.68	279.029	122.674	1605.336	7644.352
1.1.1.276	454.229	1042.767	195.914	93.368	439.602	0	142.191	171.907	1261.409	172.365	111.326	561.742	1081.614	54.852	220.391	335.987	511.255	2269.701	72.636	172	2578.687	282.849	214.992	194.554	8.013	408.739	986.879	527.636	337.984	50.776	155.354	710.408	233.162
1.1.1.28	497.14	2405.595	517.54	1005.842	330.621	31.805	1462.061	743.354	1009.033	432.436	842.855	1125.136	993.953	1252.773	373.792	422.913	1459.742	1622.072	181.936	793.427	788.908	249.393	472.843	576.756	23.882	707.931	648.19	544.666	400.984	578.224	1071.923	723.744	7084.019
1.1.1.281	48.295	0	0	38.136	0	0	0	529.503	14.454	0	12.948	0	314.836	250.85	0	59.188	33.726	0	0	0	0	0	0	0	0	0	0	0	0	76.02	0	0	0
1.1.1.282	19.174	301.674	0	5.495	5.157	0	0	332.894	70.792	22.447	128.925	24.054	25.198	0	0	0	0	0	5.892	13.782	10.857	0	0	0	0	0	0	10.666	0	0	0	85.152	2831.809
1.1.1.283	128.985	105.813	43.6	206.168	6.906	0	0	140.512	0	12.042	0	19.313	121.943	32.872	10.861	15.312	0	5.329	69.086	26.104	20.023	12.483	137.105	0	0	84.928	0	76.263	12.447	81.233	11.215	52.333	0
1.1.1.284	216.149	542.617	0	19.79	0	63.111	0	612.075	194.671	12.899	137.628	110.618	208.115	22.189	0	12.069	3.965	117.617	24.308	38.4	93.998	0	17.356	52.093	38.801	0	391.846	520.892	0	0	0	230.048	4536.19
1.1.1.287	0	0	0	0	0	0	0	0	0	0	0	0	16.316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.289	0	0	0	8.807	0	0	0	149.225	214.8	18.989	51.244	107.895	102.196	13.385	8.957	17.985	60.27	375.76	33.566	28.295	808.449	137.482	66.059	40.547	0	0	308.596	360.684	0	0	0	274.708	54.985
1.1.1.29	1125.156	565.444	326.714	1599.295	243.004	79.249	454.495	233.637	474.789	223.237	329.268	907.595	895.497	240.245	104.255	175.661	544.355	351.624	229.424	181.533	378.72	348.336	578.827	454.784	46.427	638.229	687.651	1336.835	475.667	414.65	502.835	509.181	534.695
1.1.1.290	1674.389	2305.428	2136.08	4905.922	1081.735	124.963	5120.383	2211.74	1813.422	3646.443	1619.891	6585.65	2289.022	6461.583	409.675	2935.644	1285.653	1222.091	1237.889	2736.031	4476.469	2583.943	2537.198	768.814	69.184	2057.847	1729.407	4090.743	743.231	4925.979	2258.481	2079.728	5257.678
1.1.1.291	0	11.765	14.499	19.499	0	0	0	167.791	12.346	0	62.688	0	30.894	5.556	0	0	10.709	0	0	16.31	36.723	0	0	0	0	0	0	0	0	0	21.027	0	1985.25
1.1.1.292	966.598	3477.779	1480.984	416.601	1173.666	484.785	504.365	737.138	5786.55	716.717	899.596	2331.613	2027.313	882.893	595.289	781.589	3083.873	3288.396	1209.305	570.485	3427.431	1282.883	1442.304	1765.788	21.539	1323.92	2873.984	3014.202	537.166	1394.649	830.905	3224.009	5220.174
1.1.1.298	0	255.024	0	0	0	0	0	309.433	61.549	0	49.469	0	61.035	0	0	0	0	0	0	6.415	0	0	0	5.918	0	0	0	0	0	0	0	32.959	3659.142
1.1.1.3	6814.609	8918.059	4106.984	1844.102	3062.737	782.696	2733.471	4690.89	8441.731	2844.25	3725.839	5848.962	5466.443	3658.582	1850.85	3726.341	4861.432	6540.287	4707.261	2519.881	5119.793	3823.13	4020.81	6046.407	250.369	5744.662	5475.914	7295.61	5844.981	2029.953	2928.446	6580.889	16627.817
1.1.1.30	0	0	0	8.284	0	0	13.745	9.174	14.505	0	0	0	0	0	0	6.943	0	0	0	0	0	24.501	0	5.952	0	0	0	0	0	4.464	7.254	0	0
1.1.1.301	0	0	78.127	0	0	0	0	0	32.077	0	0	0	234.863	201.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.739	0	20.822	0	0
1.1.1.302	0	0	0	0	0	0	0	0	0	0	0	9.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.304	0	0	0	0	49.143	0	21.967	0	12.031	25.666	0	5.093	5.869	0	0	0	0	0	5.046	36.847	0	50.434	36.598	36.332	0	0	270.149	0	6.838	0	41.602	38.555	0
1.1.1.305	0	11.289	0	1.768	0	0	0	0	0	0	0	0	2.983	0	0	0	0	0	0	0	0	0	0	0	0	0	2.134	0	0	0	0	2.707	0
1.1.1.306	26.339	257.426	0	0	0	0	4.215	12.997	16.73	0	0	46.352	29.532	0	0	0	342.556	0	6.282	0	0	0	0	19.065	0	10.346	0	180.647	0	0	0	27.336	14.786
1.1.1.308	0	0	0	0	0	0	0	0	0	0	0	9.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.31	135.311	40.541	24.094	0	58.295	66.514	0	125.104	147.228	0	19.833	0	91.863	0	37.574	14.604	180.821	90.508	5.376	40.574	0	32.105	0	79.305	0	22.723	30.691	57.708	18.697	10.681	29.717	60.006	1061.739
1.1.1.310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.542	0	0	0	0	0	0	0	0	0	0
