# Gene Family	3003A	3003B	3004A	3004B	3005A	3005B	3007A	3007B	3008A	3008B	3009A	3009B	3012A	3012B	3013A	3013B	3014A	3014B	3016A	3016B	3020A	3020B	3021A	3021B	3022A	3022B	3023A	3023B	3025A	3025B	3026A	3026B	3027A	3027B	3028A	3028B	3029A	3029B	3030A	3030B	3031A	3031B	3032A	3032B	3033A	3033B	3036A	3036B	3037A	3037B	3039A	3039B	3042A	3042B	3043A	3043B	3044A	3044B	3046A	3046B	3047B	3048A	3048B	3049A	3049B
2.7.7.47	5.579	0	9.376	0	0	0	0	0	0	4.902	0	0	0	0	0	209.56	0	0	173.074	86.331	0	0	2.747	7.84	0	0	0	0	0	0	23.928	0	187.219	0	20.285	0	0	0	0	0	4321.058	0	4.744	0	0	9.791	0	0	0	0	0	0	0	0	0	12.574	12.482	0	0	0	5.585	0	0	0	16.768
2.7.7.48	17.621	5.739	0	0	0	0	0	0	0	0	0	0	0	0	0	25.316	11.612	9.797	0	0	0	305.868	0	0	0	0	0	222.222	0	0	60.81	0	0	0	0	0	0	0	0	0	9.647	0	9.265	0	0	0	0	0	34.483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441.073	1203.79
2.7.7.49	1545.103	1017.107	1804.777	3272.882	1785.824	1638.775	4231.859	3343.99	2052.721	1133.009	200.132	73.221	4173.49	2998.761	1336.005	1500.421	3976.942	4644.043	4746.943	2905.776	2352.084	1996.441	3491.769	5348.785	4014.808	5681.301	4185.847	2459.706	1236.102	1302.817	1843.023	3166.934	4158.735	1925.346	1906.403	782.743	601.914	1806.912	1842.472	2234.748	7786.246	3812.35	668.231	2200.241	1574.54	4284.026	343.106	694.83	3255.264	261.314	2782.513	3892.988	232.145	2157.434	3452.134	5514.837	783.019	434.617	1216.816	1906.176	1933.89	114.37	950.64	195.904	861.724
2.7.7.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.7.53	123.355	225.819	1264.386	70.917	0	0	0	0	22.489	8.257	0	0	13.605	0	45.406	88.215	26.138	17.771	8.948	4.592	17.982	0	88.143	155.213	274.809	38.642	129.001	0	0	17.285	67.98	65.221	37.578	0	142.204	122.748	10.652	33.986	13.418	0	15.475	83.186	74.312	57.672	37.926	59.714	0	0	102.681	0	31.92	54.009	59.581	119.531	524.617	125.205	241.41	228.603	0	6.753	0	215.104	53.95	169.452	55.153
2.7.7.56	849.713	1543.742	1836.962	1266.716	1103.374	311.72	211.398	76.035	290.911	242.097	312.856	299.602	212.507	162.258	1423.937	2243.798	870.223	1583.541	142.233	399.003	475.86	658.265	688.794	788.02	1655.547	519.018	1978.93	206.995	246.969	217.975	2170.434	511.063	826.999	577.329	979.749	1804.916	218.039	2316.716	897.904	230.258	7820.294	1141.332	1103.647	922.734	880.299	1279.829	868.254	988.256	244.916	67.29	724.272	645.218	3697.099	2043.75	2958.919	1858.941	763.475	1024.966	774.483	78.429	1400.702	2136.229	1111.405	2275.337	3060.342
2.7.7.58	0	1.872	0	33.526	0	0	0	0	0	0	0	0	0	0	14.724	65.385	0	0	0	0	0	26.022	73.294	6.701	0	0	0	0	0	0	80.731	0	0	0	0	0	0	0	0	0	178.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.499	2.776	0	0
2.7.7.59	413.37	283.223	0	825.916	22.932	0	220.059	37.702	31.27	0	21.269	95.588	87.539	90.522	304.988	881.044	58.166	381.48	32.46	16.314	113.977	195.566	592.207	233.426	1052.07	325.985	1539.618	76.139	92.826	9.479	622.824	37.318	157.327	14.309	455.853	147.346	47.034	42.665	472.8	80.079	2887.247	120.638	35.232	4.731	263.074	93.75	37.247	118.048	93.111	28.297	0	0	1857.374	1105.26	2286.369	843.068	84.694	63.818	413.568	12.509	64.978	109.115	308.578	1560.009	4058.625
2.7.7.6	29937.284	28327.143	24759.633	30514.612	15889.954	18009.927	13591.887	11580.931	19669.963	11342.389	21529.237	4758.144	13611.805	12515.601	22937.524	21145.937	27457.694	28686.707	17550.204	17176.81	24231.303	17583.935	19539.046	27357.486	34866.32	26465.333	20384.665	17207.412	25111.382	32496.443	21401.814	18164.451	38048.272	26528.288	18513.484	26666.076	7462.109	15816.978	20687.039	11366.197	45300.877	24019.004	36753.507	40573.52	23311.765	19156.79	25505.307	34423.446	14976.17	6960.503	19611.803	22823.939	24794.611	22802.562	24090.439	28687.776	17536.419	18527.288	21499.474	8709.894	12287.157	17958.459	24854.65	23386.552	38647.699
2.7.7.60	8290.872	6793.306	5139.678	7033.115	3651.778	4080.785	3824.547	3239.15	4656.957	2857.553	1753.785	523.848	4024.064	3671.366	4427.872	3335.276	6172.579	6587.378	4101.629	2843.92	3699.87	3403.035	5390.074	6844.357	7356.366	6045.116	6749.957	5732.927	1688.824	1163.283	4688.642	3632.375	6855.606	4821.293	4535.604	5749.542	780.986	2657.22	4965.367	2774.583	6084.258	6522.894	4082	3821.981	4603.396	4145.725	4318.839	4770.552	3712.496	302.12	3580.247	4994.625	5748.181	5641.334	7330.133	8311.829	2842.241	4315.203	4575.128	3937.6	2681.396	3892.111	6244.975	5924.899	6334.707
2.7.7.61	78.229	44.036	0	454.189	36.223	4.587	50.562	19.203	53.094	35.993	0	0	0	0	164.284	483.819	214.867	92.432	4.587	28.152	8.699	223.885	295.226	98.11	548.814	89.04	41.3	14.41	14.493	39.321	435.738	28.102	298.784	293.333	131.349	37.123	0	0	39.715	18.345	3946.962	114.895	18.222	0	26.697	8.135	68.168	89.876	13.683	0	21.555	44.684	39.983	63.264	33.549	19.723	25.242	108.092	64.373	0	28.515	31.128	116.28	2379.818	5452.647
2.7.7.62	1123.725	856.753	171.205	890.677	222.273	116.393	364.113	928.476	128.09	213.417	65.356	92.309	208.039	413.947	346.859	256.842	817.831	772.015	367.548	342.316	469.515	547.827	982.386	1435.764	640.415	590.068	1025.06	358.422	214.417	118.882	502.414	249.885	825.469	582.639	419.238	577.946	124.443	1009.776	223.576	134.22	5436.982	502.292	411.787	361.668	665.104	364.455	247.336	292.268	337.499	98.098	201.986	294.502	721.338	327.476	339.947	1154.782	88.517	207.188	239.628	306.79	335.319	89.893	390.424	1152.873	4414.874
2.7.7.63	221.114	330.19	0	377.051	8.216	36.314	287.516	341.317	483.539	108.991	0	0	471.214	257.211	185.231	151.318	14.963	34.548	147.192	85.005	168.356	206.666	114.361	661.116	1137.064	384.192	2220.899	520.331	46.7	14.039	319.589	173.285	627.851	72.629	483.931	395.196	0	10.322	756.963	197.247	290.403	1268.114	193.702	237.313	245.591	250.632	107.321	51.636	652.813	19.399	59.856	121.628	1057.504	700.278	2073.277	465.766	46.215	120.465	526.855	214.157	259.962	882.682	597.33	148.592	55.225
2.7.7.64	244.764	145.461	0	184.08	0	0	48.814	0	0	0	0	0	51.313	8.278	57.329	78.188	0	0	0	0	16.538	5.995	0	0	247.952	119.225	855.196	14.314	0	0	102.883	21.693	0	0	139.39	20.948	0	0	272.915	56.361	70.631	70.236	0	0	21.054	20.294	0	0	0	0	0	0	504.542	283.118	1089.311	210.839	45.667	52.542	69.788	0	0	37.424	174.993	41.29	17.983
2.7.7.65	2281.567	1790.008	864.599	5566.072	1392.887	1435.816	908.655	447.081	875.577	882.816	473.148	0	429.967	406.799	1368.849	1644.417	6618.513	3838.488	920.905	363.381	552.051	1171.528	2430.625	1040.178	3391.549	1734.605	897.442	478.297	742.656	506.048	2293.943	512.38	6539.353	3736.903	1894.26	2792.049	170.596	328.78	1533.722	727.604	43451.391	2614.43	1285.691	530.638	755.524	460.072	939.574	2606.135	584.613	36.719	1148.276	1669.667	1911.585	2565.742	373.515	1536.306	234.378	1561.864	1902.93	64.761	297.783	892.371	2863.742	5455.601	21512.789
2.7.7.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.762	0	0	0	0	0	0	0	0	0	0	2.367	0	0	0	0	0	0	0	0	0	0	0
2.7.7.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.593	251.223	0	0	34.576	289.824	995.615	140.515	0	0	211.689	66.582	0	0	0	0	0	0	419.693	284.562	0	0	0	0	0	0	0	0	2215.38	2322.128	0	0	342.389	1083.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.7.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.991	233.349	0	0	18.418	219.887	1006.243	177.045	0	0	145.998	55.043	0	0	0	0	0	0	652.084	678.46	0	0	0	0	0	0	0	0	2231.753	2454.398	0	0	378.588	1098.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.7.7	43138.392	39123.749	26461.74	46928.029	25389.7	25482.607	18880.282	17895.826	25114.171	15722.634	36708.893	5658.078	18806.208	17382.096	26059.202	25538.555	47646.256	46682.693	24529.586	20001.032	23334.609	22016.502	29639.534	38411.66	52198.901	38285.913	29750.142	22330.986	36243.199	40753.281	33392.49	23221.398	46182.825	37521.046	27155.299	35894.213	10402.201	20691.681	27763.503	15457.386	76753.733	32360.383	32193.945	30644.067	26785.31	24089.066	28731.495	35903.638	23756.222	89394.922	28385.262	33323.141	28578.479	33140.065	31007.568	43379.946	18527.559	24576.423	28685.848	16074.69	15840.666	22370.158	33602.135	43733.456	61755.613
2.7.7.70	1073.6	439.729	187.155	144.811	1092.991	199.165	408.585	1063.68	305.853	113.284	137.649	107.878	258.29	197.51	71.329	60.795	492.99	1093.27	537.88	281.335	365.417	260.306	283.721	766.895	145.244	384.124	454.292	284.66	61.778	127.717	977.803	406.862	55.579	0	38.757	51.257	0	203.22	184.546	110.21	827.624	183.851	258.749	645.75	604.422	1005.51	177.823	569.204	102.581	33.645	480.283	286.09	1064.079	83.121	181.922	934.724	45.46	204.778	54.298	277.894	886.064	658.285	287.546	363.497	889.608
2.7.7.71	19.572	21.457	0	0	0	0	0	0	0	0	0	0	30.523	71.857	22.84	0	0	0	40.582	81.914	17.201	0	0	0	14.39	0	0	73.616	0	0	0	16.342	0	0	0	0	0	0	37.338	55.546	51.095	8.008	0	0	19.303	143.338	0	0	27.508	0	0	0	0	0	12.899	0	0	0	0	165.824	40.478	0	6.631	0	9.884
2.7.7.72	1858.557	1696.572	2463.417	2747.861	1969.131	1173.257	396.479	278.279	959.036	1170.16	342.794	182.798	359.984	398.424	375.328	546.298	3606.901	4781.423	792.458	528.357	1303.624	594.321	1160.679	1054.874	1756.548	1613.435	453.853	698.436	672.789	600.206	2199.101	774.774	2376.137	2761.692	1815.146	2681.309	184.122	1292.889	1354.186	539.322	719.604	1899.498	3465.338	2986.906	789.4	1072.349	1248.855	2785.765	562.608	28.163	1685.622	1502.064	2302.765	2271.793	459.501	1874.123	158.696	1011.593	1986.302	69.221	1307.525	831.135	2014.397	1798.054	1414.655
2.7.7.73	110.997	62.189	165.205	901.754	14.231	13.769	88.16	0	120.611	93.901	17.494	0	26.242	0	128.198	333.365	436.438	303.705	46.487	48.443	117.861	304.731	639.894	243.066	610.644	324.162	145.118	10.016	10.907	0	426.433	24.205	338.785	63.439	248.017	196.148	14.997	131.484	194.212	4.02	7177.325	160.803	276.174	22.036	14.865	29.482	43.568	130.9	64.937	4.63	44.453	84.405	68.151	179.296	59.743	182.537	36.185	88.054	101.556	8.228	127.177	8.36	209.408	1588.81	2842.617
2.7.7.75	1952.428	1179.872	1701.462	2678.592	992.521	1033.891	485.474	206.686	1040.906	1059.308	253.088	84.59	384.67	147.654	542.058	431.987	2511.734	2883.698	687.192	221.572	384.14	754.624	1232.047	890.985	1813.821	1506.501	509.259	487.842	590.275	554.314	1289.905	457.829	1543.392	1423.778	1722.055	2538.017	147.99	884.612	1260.16	390.533	5548.714	1753.425	1207.831	407.51	274.05	262.795	501.997	1062.072	511.385	12.883	1079.352	1110.054	1207.791	1478.733	465.392	1384.39	152.584	663.651	1365.15	63.997	460.754	239.326	1733.78	2621.035	4952.085
2.7.7.76	15.716	0	0	201.996	0	0	56.847	0	9.112	0	0	0	0	0	73.865	114.319	0	40.223	6.719	0	20.529	70.645	78.921	0	0	0	0	0	0	0	99.834	0	0	0	6.898	0	0	0	20.682	0	613.992	11.434	0	6.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.015	0	9.324	220.434	1649.779
2.7.7.77	180.777	928.928	371.756	1240.931	537.884	508.925	173.475	132.371	194.957	482.985	197.543	40.714	80.309	386.75	414.03	238.642	1263.806	1067.968	108.856	49.061	261.44	457.345	486.954	380.199	942.363	467.308	637.302	825.351	309.903	151.044	584.216	215.86	1167.806	704.06	741.666	471.738	128.27	455.807	561.969	379.577	5013.1	681.071	1040.114	290.172	174.624	283.047	677.203	625.947	188.808	63.092	924.152	494.385	897.806	597.793	274.712	850.843	287.074	787.455	672.944	24.961	428.236	211.012	1100.547	1397.091	2821.769
2.7.7.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.7.8	6526.644	6353.485	6425.858	8060.353	3947.106	3543.036	3597.391	3329.125	3624.454	2153.226	5837.412	1167.609	3768.389	3625.318	5047.908	4849.9	5358.947	6212.752	3703.379	3790.982	3681.467	3512.235	4950.928	6550.17	6904.664	5907.61	5049.649	4137.96	6478.51	9642.562	5796.385	5999.6	6647.458	4790.411	3819.767	5746.455	1761.799	3994.073	4528.153	2653.233	10123.843	5508.217	4291.577	4528.245	4602.678	4218.242	4909.699	6036.554	3993.924	1686.295	5198.831	5709.818	4877.95	5473.445	5675.559	7192.816	3705.37	5207.122	4417.545	2701.947	3114.048	4589.582	5345.445	5220.077	7455.659
2.7.7.80	91.584	431.044	306.804	1037.409	355.601	325.929	43.294	7.576	159.669	280.97	65.332	51.26	75.102	47.586	170.208	334.458	725.136	996.19	158.766	92.702	144.494	287.373	380.452	208.018	518.324	342.515	81.763	57.754	163.286	210.377	533.888	146.935	864.486	905.014	268.777	208.619	61.548	508.018	455.558	140.53	2962.473	270.232	294.043	133.729	57	75.976	239.541	467.202	92.075	6.309	203.923	441.075	609.358	449.001	50.959	435.783	49.231	187.466	436.841	17.603	193.138	30.026	419.593	2017.267	3886.652
2.7.7.81	1011.561	323.847	0	31.984	149.628	18.699	425.793	1003.189	0	0	0	0	50.712	138.083	22.327	55.367	54.332	29.583	205.614	135.575	351.256	175.484	0	0	0	0	17.026	64.957	31.536	9.283	62.534	98.93	97.71	18.301	0	0	0	47.376	11.055	53.224	22.005	69.81	45.44	145.443	334.853	245.682	0	0	94.067	0	42.438	39.998	0	0	165.133	789.682	43.69	7.391	23.113	0	47.565	11.02	28.774	0	9.187
2.7.7.82	0	0	0	0	10.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.204	0	0	0	0	0	0	0	0	0	0	0	0	6.791	0	11.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.7.85	6952.315	7329.667	3114.614	5556.123	4348.984	4653.749	3645.427	3547.988	4511.263	2708.897	9402.018	1141.353	3811.651	3707.157	4883.453	3821.055	7597.895	6876.034	4159.79	3640.862	3922.158	3874.618	4717.616	6394.388	5582.295	5497.899	3683.173	4521.517	8516.841	9712.722	4776.053	4743.339	7562.94	6193.253	3939.072	5840.522	3044.302	3638.97	4394.932	3087.38	2030.779	4707.538	4749.167	4560.992	4631.423	4479.665	5053.458	5351.021	4220.171	2211.61	5087.183	5702.572	3821.744	4477.397	3166.762	6460.838	4283.925	4115.563	3942.056	2884.719	3409.884	3028.52	4617.139	4403.87	2869.35
2.7.7.87	2971.47	4244.81	1453.795	4298.955	3116.165	2269.598	1041.034	823.706	2113.381	1782.829	1342.023	582.257	1154.614	1288.111	4463.9	2907.77	2757.565	3732.156	1930.812	1724.231	1696.507	2447.536	3137.349	4603.977	3341.498	2956.476	1512.215	2090.504	1024.811	748.721	3111.612	2533.883	3746.288	1692.575	2346.46	3644.929	1431.781	3755.228	2612.464	1324.759	3143.949	1802.801	2613.923	2146.836	4217.269	2269.892	3343.579	2928.279	2012.94	274.87	2580.629	3043.454	1889.408	1850.288	2370.929	3811.502	2413.922	2895.748	2623.613	483.32	2079.003	2538.38	3585.664	3472.269	3383.91
2.7.7.89	149.018	245.799	1000.007	49.933	0	0	28.602	6.089	32.488	6.152	0	63.719	20.494	109.313	33.486	268.31	48.835	252.827	8.952	0	34.295	60.956	194.594	261.983	297.606	43.287	283.447	59.738	25.818	9.055	114.687	47.53	34.281	28.345	236.359	186.52	39.729	62.351	38.086	0	21.341	59.515	54.975	44.85	102.391	91.723	12.161	36.806	100.412	29.77	32.913	72.704	433.969	238.061	955.122	456.068	250.89	184.145	41.817	0	43.895	310.86	33.951	283.444	141.331
2.7.7.9	940.236	2318.945	1397.209	2356.421	882.492	1543.557	543.429	320.057	1693.336	865.667	1090.183	133.709	442.738	219.101	1180.512	1238.835	4328.768	836.515	994.851	727.236	1607.149	1036.39	1839.391	2514.408	1509.233	1041.574	505.892	352.321	664.662	224.434	1505.382	1522.598	4526.548	3894.207	1413.677	1665.698	459.761	464.184	1024.254	505.144	10339.701	708.103	3383.257	3552.365	2842.399	1259.574	808.392	3362.903	670.119	216.002	954.965	1742.975	3912.174	1613.455	1436.646	1800.184	1013.85	1214.094	981.806	42.772	869.765	1059.335	1891.312	2146.908	5626.997
2.7.7.n1	29.192	4.415	0	150.929	0	0	23.761	0	0	0	0	0	0	0	43.256	107.953	0	0	0	0	17.515	128.408	87.576	0	172.346	28.27	26.164	8.997	0	0	140.423	0	46.235	0	0	0	0	0	19.806	4.415	1012.584	0	0	0	0	0	0	0	0	0	0	5.859	31.395	0	0	0	0	0	0	0	0	3.172	43.323	299.667	957.843
2.7.8.11	214.606	133.958	351.103	84.884	0	131.988	603.811	329.639	807.725	111.737	9.844	0	590.535	559.832	72.137	46.74	24.982	19.417	103.638	288.389	325.932	162.552	467.103	937.738	922.199	311.848	948.27	710.877	53.284	11.808	385.309	258.888	216.689	31.103	250.979	354.504	11.903	32.117	339.054	244.645	212.722	1161.817	151.479	205.442	274.27	497.465	103.056	39.355	754.851	20.979	207.742	190.794	85.413	454.506	404.651	174.021	9.341	5.984	289.103	1607.303	207.913	754.69	410.861	128.357	101.995
2.7.8.12	1984.441	1832.288	2817.959	1986.616	1443.035	1324.695	570.596	265.941	1165.41	1087.916	856.203	0	389.659	173.155	369.471	440.933	5792.358	5250.557	672.269	604.224	750.227	335.235	965.462	1806.417	1229.215	889.314	565.442	389.426	641.321	389.248	1862.577	594.808	3210.013	5015.897	2613.346	1788.962	130.037	591.047	1815.394	348.712	724.833	868.806	1810.892	663.081	489.902	785.795	425.619	1434.25	1335.139	73.817	2611.708	1586.339	399.433	1388.28	980.352	1892.121	459.606	608.598	2074.698	581.871	401.073	372.298	2758.456	1197.821	1060.264
2.7.8.13	4553.26	5412.159	4508.895	5499.442	3585.095	3031.248	3463.33	3157.448	3446.959	2255.232	8011.866	1023.918	3511.354	3338.804	4553.735	4583.216	5909.077	6427.159	3258.447	3517.571	4481.685	2929.494	4147.001	5728.458	6456.83	5219.962	4843.344	3959.229	6895.74	9041.967	4878.697	3671.272	6522.886	5133.362	4158.449	4978.362	2153.176	3497.211	4547.789	2299.687	6471.363	4176.111	6169.537	6085.229	4013.741	4282.574	5490.619	6704.135	3917.63	1250.078	5340.923	5268.577	5113.689	4688.985	5834.96	6550.099	3575.606	4372.154	4061.945	2630.674	3416.23	3759.529	5433.868	4519.315	5209.943
2.7.8.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.8.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.8.20	25.162	102.962	17.562	553.226	7.314	11.257	62.648	0	4.197	10.755	0	0	0	0	156.641	307.189	61.939	18.118	8.265	4.203	27.151	97.584	179.261	37.652	284.944	38.629	44.898	4.224	0	7.813	239.346	5.078	474.939	51.978	40.481	12.186	0	14.125	43.998	10.824	4733.25	33.867	44.895	20.391	9.781	0	0	32.234	0	0	12.649	7.833	164.3	71.346	16.528	66.858	10.723	11.256	0	0	0	11.994	83.695	1082.074	3831.75
2.7.8.23	0	0	13.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.8.24	0	25.839	0	21.992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.892	0	0	0	0	0	9.377	0	0	7.762	24.97	0	0	0	0	0	0	0	0	0	6.882	0	0	0	17.173	6.79	11.217	0
2.7.8.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.976	0	0	0	0	0	0	0	0	0
2.7.8.26	4355.482	3627.352	2293.164	4526.734	3156.055	2171.577	1781.904	2192.9	2134.167	1656.767	479.834	787.501	2515.027	2738.748	2239.473	2595.299	3837.903	4755.281	2480.425	2148.957	2712.715	2220.984	3462.004	5188.998	2836.342	2816.695	2561.583	3167.388	909.675	1010.785	2973.739	1491.342	3050.831	2083.975	2610.035	4335.914	429.664	3332.486	2471.487	1494.348	4576.099	3628.094	5342.254	4735.289	1919.493	2322.756	2424.763	3921.303	1854.847	170.153	2395.925	2625.705	2059.402	2322.988	1439.436	4006.96	660.309	2378.997	2293.17	2198.034	2656.631	2540.279	2941.792	4233.715	4954.219
2.7.8.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.072	246.336	0	0	27.505	211.318	910.583	161.643	0	0	91.967	63.984	0	0	0	0	0	0	621.413	564.02	0	0	0	0	0	0	0	0	1671.935	2015.456	0	0	392.914	883.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.8.31	189.57	166.242	828.277	378.038	188.967	204.834	582.96	437.478	70.361	91.323	21.356	8.099	248.555	221.951	59.04	483.269	775.956	648.242	115.571	137.921	120.754	110.47	458.703	429.402	297.71	434.91	171.01	452.238	120.864	66.947	301.789	111.787	367.268	202.984	226.727	102.757	45.647	443.628	273.431	250.432	230.497	128.8	228.567	96.592	41.684	339.875	367.336	317.816	801.186	7.933	184.198	171.203	32.947	242.396	39.169	136.016	72.537	366.831	127.708	109.28	337.409	67.406	178.651	585.354	934.013
2.7.8.33	158.622	177.982	27.313	969.214	97.469	311.6	1045.795	1008.932	421.938	110.607	9.793	0	462.84	154.013	235.812	1047.943	183.352	444.585	193.62	350.8	139.172	312.418	749.656	445.344	1923.944	768.574	866.787	1332.268	106.242	52.022	749.307	326.116	1157.783	361.25	582.573	665.038	26.855	60.126	492.058	157.777	5567.177	1228.262	420.111	484.582	241.2	1173.881	105.005	244.813	215.747	9.698	162.809	159.343	1160.477	733.343	591.242	830.013	70.102	19.254	569.996	396.987	148.756	826.587	807.218	1091.256	3890.859
2.7.8.36	47.721	397.936	105.855	1709.521	278.338	0	0	0	423.298	364.635	0	0	66.98	51.591	887.215	493.044	37.499	29.194	101.054	89.42	145.848	319.367	89.338	0	474.172	882.304	170.907	191.382	418.227	104.818	176.389	120.625	57.951	67.12	157.708	691.069	304.048	53.544	484.057	68.039	0	0	301.853	305.624	0	6.153	11.291	566.943	75.748	15.252	178.987	512.862	0	0	1360.076	950.258	33.815	207.342	316.593	0	269.695	0	948.979	0	0
2.7.8.37	64.782	9.195	0	33.197	0	0	112.325	0	13.19	0	0	0	0	0	184.098	501.49	0	32.826	1.364	22.057	15.104	304.992	48.512	0	73.487	7.545	0	0	0	0	441.575	0	46.314	0	0	0	0	0	116.055	0	835.669	5.526	0	0	0	0	6.171	11.917	0	0	0	0	6.119	0	11.282	0	0	0	0	1.317	0	1.488	1.875	3045.32	6745.834
2.7.8.40	43.324	18.691	0	0	0	0	0	0	0	0	0	0	10.248	32.567	0	0	0	0	0	0	0	6.912	0	11.802	0	0	0	0	0	0	0	0	0	0	0	0	8.279	0	0	0	0	0	0	0	0	96.301	0	0	0	0	0	0	0	0	0	0	0	0	0	144.786	38.459	0	0	0	11.833
2.7.8.42	0	0	0	11.234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.191	0	4.292	0	0	0	2.537	0	0	0	4.754	0	0	0	0	0	0	0	0	2.037	0	1.821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.351	0	0
2.7.8.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.7.8.5	5852.842	4847.02	4404.559	6667.681	3411.536	3329.272	1205.165	633.04	2834.252	2155.069	900.196	490.573	1270.915	1363.007	1728.615	1398.639	11273.35	9415.391	2414.546	1292.404	1217.729	2911.309	3440.561	4152.895	4293.547	3667.099	2936.275	1774.153	2235.036	1217.385	3937.088	2042.609	5693.136	6116.395	4279.303	5809.303	329.162	2056.548	3314.176	1603.753	6288.326	3467.335	3198.854	1346.081	1920.981	1916.032	1609.327	3845.34	1502.736	135.224	3380.492	4046.91	3441.466	4471.415	2919.737	4950.95	862.727	1393.143	4174.603	67.434	1295.096	844.304	3575.365	4815.931	7273.946
2.7.8.6	1421.208	950.444	205.153	59.306	430.363	321.984	385.784	796.304	777.224	342.09	4.546	0	112.596	288.999	105.458	98.287	354.784	488.847	949.547	443.096	358.388	212.172	620.539	1524.148	1324.858	728.84	1197.87	195.571	103.579	78.824	439.96	118.488	479.515	291.883	436.512	386.386	36.393	305.708	484.182	105.847	408.114	1705.047	425.038	394.367	425.782	413.64	184.188	219.634	112.166	5.235	504.049	236.74	187.092	501.169	314.933	888.214	397.434	74.389	738.064	484.373	106.518	1633.373	1374.612	308.233	147.949
2.7.8.7	3482.057	3590.286	3079.096	2733.126	1989.446	1731.851	537.165	322.701	2853.947	976.199	2970.406	721.18	863.368	254.069	3625.272	2598.92	2621.873	2848.706	1237.585	724.005	1463.47	1499.58	2603.934	3747.547	5039.032	2227.244	1593.047	411.595	1820.338	1710.182	2847.057	1279.486	3089.814	2585.749	1597.777	3384.366	1586.345	2896.625	1607.579	602.752	4448.97	2560.339	2362.206	2188.323	2196.092	2507.94	3945.274	2901.45	925.185	259.428	1664.058	1614.224	2812.222	2710.356	2389.211	3100.932	3199.736	1900.725	2355.116	83.107	1740.558	3811.903	2896.695	3351.611	4506.164
