# Gene Family	3003	3004	3005	3007	3008	3009	3012	3013	3014	3016	3020	3021	3022	3023	3025	3026	3027	3028	3029	3030	3031	3032	3033	3036	3037	3039	3042	3043	3044	3046	3047	3048	3049	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.159	62.252	92.771	137.184	481.787	1.938	23.126	46.599	0	86.559	225.749	78.113	287.037	28.027	3.489	0	42.55	36.157	14.159	0	22.138	41.584	151.137	106.665	16.184	132.599	40.115	29.257	54.703	0	494.626	0	17.776	59.46	7.138	480.698	0	650.662	0	0	148.932	133.144	59.005	180.095	53.016	0	10.361	0	4.858	32.148	38.495	0	0	74.157	67.96	38.12	232.926	11.073	0	0	20.069	27.216	11.419	382.668	0	72.896	1821.334
1.1.1.163	0	0	0	8.013	0	0	0	5.25	0	17.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.49	0	17.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.518	0	0	0	0	0	0
1.1.1.169	2169.107	3987.078	1971.714	2682.77	2506.429	1344.493	4092.804	2332.53	4048.103	1327.904	4291.433	3512.727	3679.664	3466.156	334.85	2793.009	1632.293	2065.664	1998.538	1586.972	3314.398	3543.335	3382.489	3359.439	2377.94	2788.237	3682.979	2994.426	3436.394	2800.46	3921.824	3746.551	4412.105	3430.943	5022.731	1577	2238.969	1294.012	853.29	3205.112	3622.033	4992.149	1755.345	1929.237	4539.631	3122.639	3293.735	1004.765	1216.381	3126.896	3388.274	3028.32	1599.195	1992.181	3996.297	2535.965	3428.942	129.884	3111.704	2545.949	3744.855	5548.17	2647.944	2676.19	2508.443	5116.532
1.1.1.17	280.459	623.648	357.35	2410.949	282.833	288.701	44.204	154.12	698.537	125.214	261.217	707.433	588.083	351.601	132.444	1495.278	1227.734	587.726	224.032	466.915	444.803	659.958	305.222	292.119	379.278	240.337	319.008	668.815	1185.957	22.622	101.925	3349.693	780.537	602.304	1056.402	220.423	364.924	372.771	18.413	85.049	595.539	2255.039	64.243	176.894	874.764	422.521	61.903	114.433	349.643	1478.272	819.997	122.552	66.048	381.939	490.124	534.824	365.565	50.723	457.894	472.442	834.071	12.697	80.724	155.261	1588.123	3298.732
1.1.1.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.179	0	0	10.284	144.734	0	16.182	0	51.853	139.379	9.024	0	8.057	44.144	124.011	26.184	80.641	0	64.133	88.109	11.22	0	0	203.378	166.647	137.986	0	531.212	348.709	0	0	0	19.617	111.043	0	0	0	13.807	0	0	0	195.873	254.797	6.92	0	147.615	18.086	0	5.847	17.509	0	89.768	23.009	0	0	0	101.733	93.902	0	0	598.58	470.572	56.805	0	4.967	9.63	18.386
1.1.1.18	1858.069	1990.625	578.782	1643.701	1310.206	273.993	975.801	2679.681	1272.546	764.158	441.346	4759.402	1767.368	2277.571	138.857	1312.598	1007.816	594.667	897.506	774.919	1377.221	1094.162	1894.452	666.104	982.579	1371.116	1774.578	1783.062	2679.702	2408.721	2397.647	1774.981	1829.76	1833.711	1687.073	831.139	2258.263	724.377	0	1289.937	536.5	1671.972	1171.463	539.01	4011.414	1209.997	2349.827	225.514	493.607	1631.203	688.711	1088.943	661.657	973.574	571.995	4120.252	1054.876	0	1210.503	2432.145	3943.113	408.04	1703.38	2271.318	1453.336	758.726
1.1.1.188	0	0	0	6.68	0	0	0	5.3	52.17	0	0	0	0	0	0	0	0	0	43.078	0	0	11.312	0	0	0	0	0	0	0	0	0	0	17.411	0	0	0	0	0	0	0	111.825	135.784	0	0	0	0	0	0	0	0	19.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.193	1883.366	2982.036	3010.174	2030.418	3496.272	1108.505	3799.344	2323.067	4423.095	1636.341	2417.984	3253.806	2079.91	3572.95	308.794	2592.999	793.638	1431.56	2854.085	1422.62	4012.182	2207.311	3394.798	2164.103	1871.28	2148.943	2477.12	2172.53	2429.462	2885.991	3158.084	3766.697	3658.664	2403.036	3136.366	3017.416	2286.882	1298.716	265.489	2956.553	2625.85	6142.592	1780.96	1635.096	3482.399	2406.718	3683.684	793.876	1568.572	1726.999	4156.253	3240.808	1646.412	3156.945	1541.988	2599.861	1939.027	97.225	2296.53	2233.061	3182.977	1048.777	2749.603	2051.718	1928.881	1859.267
1.1.1.2	47.269	544.526	177.662	673.611	199.819	51.855	105.25	37.972	325.615	638.627	223.406	104.157	650.241	440.208	32.02	83.34	72.108	329.093	307.579	399.966	2598.13	724.45	101.962	267.878	89.726	94.722	518.175	174.949	592.637	57.074	467.82	244.39	1110.816	194.881	1776.63	294.724	69.61	349.224	0	44.275	207.058	796.74	228.94	152.498	465.817	466.309	58.271	32.028	54.602	49.055	270.339	282.538	306.885	1609.01	121.327	129.915	166.619	6.584	322.657	520.942	324.537	390.194	25.593	360.764	521.014	3321.656
