out,3003,3004,3005,3007,3008,3009,3012,3013,3014,3016,3020,3021,3022,3023,3025,3026,3027,3028,3029,3030,3031,3032,3033,3036,3037,3039,3042,3043,3044,3046,3047,3048,3049,3003A,3003B,3004A,3004B,3005A,3005B,3007A,3007B,3008A,3008B,3009A,3009B,3012A,3012B,3013A,3013B,3014A,3014B,3016A,3016B,3020A,3020B,3021A,3021B,3022A,3022B,3023A,3023B,3025A,3025B,3026A,3026B,3027A,3027B,3028A,3028B,3029A,3029B,3030A,3030B,3031A,3031B,3032A,3032B,3033A,3033B,3036A,3036B,3037A,3037B,3039A,3039B,3042A,3042B,3043A,3043B,3044A,3044B,3046A,3046B,3047B,3048A,3048B,3049A,3049B
Bifidobacterium_bifidum,5.55755,5.26561,0,4.14535,0,0,0.13238,1.36245,0,0,1.8507,0,8.49185,5.24459,0,5.60295,0,7.36218,0,9.34098,3.55035,0,2.7018,0,0,0,8.83862,8.35796,12.8368,0,0,2.76886,2.09616,8.17011,7.03226,0,6.31695,0,0,2.96293,0.56991,0,0,0,0,2.81648,0.2807,1.67981,3.21396,0,0,0,0,1.28924,0.68423,0,0,6.32792,4.7026,28.20755,0.49133,0,0,4.58111,0.75637,0,0,6.40671,0.68527,0,0,11.50625,2.41432,2.08216,2.08198,0,0,1.51419,0.70979,0,0,0,0,0,0,19.01805,9.96244,27.70874,5.23977,2.97404,3.53806,2.94041,0,0,2.27721,6.44413,1.92535,0.76753
Collinsella_aerofaciens,0.04295,10.30503,1.92952,0.03651,0.05674,0.77941,0.14984,0.02726,3.23147,1.64468,4.27754,0.02096,1.90509,5.66563,5.18048,7.83111,0.55991,7.50435,0.07969,3.01302,3.63355,5.69285,3.29045,7.1304,0.13552,0.058,4.11995,8.25708,1.87055,0,4.05889,1.2385,5.3681,0.06764,0.09569,0.92003,6.08053,2.58375,7.40518,0.00725,0.02056,0.0456,0.05019,0.11727,0.73571,0.84279,0.20042,1.29723,0.07138,1.68572,2.43526,0.30141,0.65991,2.04261,2.44305,0.10438,0.0968,4.09304,2.52755,2.28432,0.72155,1.82783,4.67624,5.07995,1.45508,2.16568,1.75961,2.686,4.72895,0.10816,0.10555,2.64293,1.79295,1.64546,3.18582,10.7027,4.03536,2.86018,1.33588,0.85104,4.00843,0.0602,0.06457,0.12466,0.11055,16.41037,7.03978,0.97907,4.69154,1.38163,1.76971,5.24271,0.00172,5.72989,0.90636,7.75869,6.86191,1.29661
Alistipes_putredinis,0,1.42772,5.10729,3.73187,0,0.67392,2.75329,4.67658,0.48099,11.65576,0.62092,0.01349,0.07575,2.84036,0.24841,0.62707,0,0,1.07942,4.19547,3.40385,3.90363,0.05745,0.20671,4.04753,0,0.01329,1.68646,0,8.6244,0,0.14951,6.41667,0,0,0,0.88692,3.57285,1.69574,12.19143,9.56132,0,0,0.51324,0.04901,13.83389,6.45938,0.71044,1.50364,0.23401,0.58793,12.18574,14.86216,9.20553,1.51073,0,0,1.62391,1.13387,3.05024,1.31683,3.90973,2.07972,0.82859,12.85347,0,0,0,0,3.60743,1.76739,3.90055,10.79519,0.9749,3.70377,0.99186,10.0414,0,0,0.06157,0.47998,4.17373,4.26589,0,0,0,0.14993,8.44822,3.90546,0,0,0.23878,0,0,0.08631,1.36515,0.56397,0.37318
Bacteroides_caccae,6.20083,0,5.33082,1.3831,1.35987,0,3.82955,2.3297,0,0.53799,3.69162,12.25242,0,1.04177,0,0.34138,0,0.22935,0,0,21.07338,5.11807,0,0.45384,8.04339,1.93018,8.73969,7.07454,0,8.26854,1.43683,0.29573,0.60934,3.48367,0.72211,0,0,0.47739,3.41301,4.60334,2.68724,12.35131,0.61178,0,0,3.26556,5.34598,0.59264,1.71365,0,0,0.08945,2.79201,8.52659,2.16481,10.14957,1.92259,0,0,3.65107,3.36763,0.6343,0.38703,7.8823,9.05651,0,0,1.84021,0.27434,0,0,0,0,2.03332,2.51091,0.21028,1.70321,0,0,0.2519,0.05477,5.54737,3.21117,0.75109,1.54865,0.02551,2.78055,0.21713,0.23334,0,0,0.06412,5.25051,0,0.07559,0.47912,0.00148,1.02374
Dorea_longicatena,0.72882,1.30564,3.62338,0,2.16132,3.84718,0.41949,0,2.78678,0.76443,0.91467,0.03513,3.06552,1.13282,8.12786,3.83958,14.33456,0,1.5251,1.6077,1.6361,0.59362,0.58272,4.29095,1.07522,0.91215,0.96375,1.12443,2.73217,0.04586,0.29117,2.61666,3.42025,0.47583,1.51561,4.35236,5.06809,2.73426,2.22911,0,0,1.15677,4.33921,0.76919,0,0.66695,0.23348,0,0,6.04759,4.98657,0.55694,0.3287,0.66107,0.96575,1.21425,1.74434,1.05706,1.39447,0.4337,0.06083,6.29497,6.3911,1.67987,0.83734,4.14866,8.67064,0,0,11.06218,15.79169,1.93459,1.4928,0.43805,0.61712,4.25408,0.60157,0.36702,0.45981,5.27216,6.70725,1.64917,0.48714,1.63243,3.32999,1.44941,2.17686,0.20724,1.23815,0.47674,2.49406,3.54219,0.18339,0.56384,0.32298,2.50107,2.95359,3.20023
Fusicatenibacter_saccharivorans,0.55405,5.63602,1.21263,6.05135,1.21683,1.34325,0.07446,0.50648,2.2579,1.00942,0.83381,0.0413,7.21395,2.7223,2.44942,0.44811,2.25577,3.62099,2.42618,3.07231,5.07833,2.2242,0.68789,2.3778,1.91741,0.82003,2.60087,1.19396,5.31857,0.00933,1.17493,0.87851,8.12363,2.02374,1.41354,3.79274,1.62154,0.49261,0.22026,2.32954,0.30615,2.09529,4.61588,0.94206,0,0.77522,0.2936,0.39431,0.67956,5.7351,4.8059,0.35385,0.77769,0.92015,0.31507,8.69828,4.21381,2.34423,3.98593,0.86976,0.28174,0.89794,0.46315,1.06661,0.47167,1.02295,0.6756,6.13125,3.79725,3.84123,4.20633,2.94508,1.01464,0.63274,2.13011,5.40067,0.99161,0.53491,0.89827,0.52168,1.41018,1.08663,0.25144,2.16449,4.69259,0.10713,4.33649,0.66215,3.05818,0.16173,3.05148,2.39897,0.01761,3.63288,0.02817,2.60795,11.08969,7.46423
Eubacterium_hallii,1.03816,2.65333,2.63492,0.51173,1.04605,2.01081,0.04248,0,5.88737,0.9095,1.44564,0.10341,4.78758,2.10674,4.43757,3.77637,2.13738,2.22126,0.33413,5.3827,1.99576,0.37691,2.00905,2.02529,1.52875,0.7875,0.62613,2.22622,7.71793,0,0.34916,7.08517,3.15851,0.49136,2.91679,4.61729,3.76214,2.73375,2.28405,0.18913,0.06723,1.29551,9.38073,5.05517,0,0.44701,0.10322,0,0,12.21278,10.087,0.15748,0.41219,0.63276,0.2851,1.49957,1.17389,2.15265,3.44995,0.64031,0.12368,0.66526,1.1162,2.06904,1.02471,1.27359,3.28087,4.60703,3.11292,0.00724,0.22151,5.60253,0.59424,0.73171,0.76583,2.70573,0.5885,1.40988,0.92706,0.99825,1.05786,0.41353,0.20873,4.10046,4.10514,0.14716,1.50333,0.5528,1.89355,0.28108,0.20993,3.64294,0,0,0.12345,6.14254,1.96568,1.90023
Ruminococcus_torques,1.12451,1.02691,0.50513,0,1.20709,12.76749,0.61084,1.89121,2.48387,0.86862,2.93013,0.00919,3.591,0,9.19867,3.55934,5.12562,4.9611,0.61054,1.77887,0.19728,0.42918,0.30071,7.3138,0.21839,0.48156,0.34593,2.21524,1.48009,0,0.58684,0.90147,4.29763,0.43215,2.35397,2.90353,0.59199,1.49362,1.13743,0,0,0.44114,3.80643,7.48402,18.85812,0.14561,0.08781,0.04045,1.85298,3.61424,3.71981,1.21134,0.24091,1.04317,0.99866,0,0,1.03177,2.11168,0,0,1.10316,5.16131,1.9208,1.45128,5.09546,11.47544,3.84807,2.62283,0.1817,0.25636,4.24964,1.98651,0.14634,0.11189,0.62533,1.04353,0.15823,0.2234,0.67288,2.12204,0.39339,0,0.63533,1.57758,0.13792,0.73788,0.17352,1.16801,0.1606,0.60829,1.35344,0,1.25211,0,1.14009,2.56367,2.65367
Escherichia_coli,0.42683,0.45633,0.01146,4.17326,0,0,0,0.50475,0.34689,0,1.43186,8.01257,0.33742,0.08969,0,0.10352,0.7173,0.21818,0.02313,0.40349,0.35294,0.07491,0,0.17774,0.03695,0.04565,0.31792,0.15651,0,0.15626,0.01138,0,1.99664,0.22948,0.03184,0,4.61268,0.09355,0,0.56631,0.01956,0.02761,0.00942,0,0,0,0,0.96171,2.7171,0.06933,0.15479,0.24488,0.12186,0.75315,1.67903,2.89224,0.12536,2.51991,0.4923,0.57793,0.08918,0,0,2.00238,0.07442,4.98777,0.58805,0.05631,0,0,0,0.62235,0.33059,60.94087,0.03342,0.02282,0.03415,0,0,0.02324,0.06167,0,0,0,0,0.46563,0,0.03937,0.00445,0.00623,0,0,0.10863,0,0.27325,0.74171,9.34142,36.56061
Bacteroides_ovatus,10.44231,0.05201,0.42874,0.5006,0,0.05976,2.65553,10.91962,3.23631,0.12224,1.13906,11.50654,0.02479,0.91543,0,0.10161,0.54548,0.30008,3.82938,0.27969,0,0.46875,2.71927,0.02103,2.66095,2.29668,0.11193,1.49417,0.52479,0.37413,2.15696,0.10325,0.93457,1.91795,0.87158,0,0.02415,0.08206,0.49203,1.19341,1.00889,0,0,0,0,8.49087,7.45181,0.03791,0.07753,0.98768,0.38437,0.02383,0.39162,2.12238,2.57231,0.80032,6.18636,0.73238,1.29943,3.48697,6.77468,0.14094,0.57726,0.24034,0.47796,2.51327,0.3211,6.14347,0.22553,0.19908,0.31417,0.33157,1.2115,0,0,0.19088,0.38585,5.07402,7.20721,0.01107,0.02188,4.10796,0.5064,1.56689,1.23268,0,0.05051,3.54311,1.4057,0.09546,0.0124,0.03529,0.28147,3.4661,0.01567,0.06795,0.0041,0.15558
Prevotella_copri,0,0,9.16943,0,0,0,0,0,0,19.90325,0,0.06034,0,0,12.24306,0,0,0,0.10182,5.56927,0,0,0,1.71134,0,0,1.85258,0,0,0,0,1.06604,0,0,0,0,0,4.4022,7.21532,0,0,0,0,0,0,0,0,0,0,0,0,26.725,4.83515,0,0,0,0,0,0,0,0,5.00797,1.83469,0,0,0,0,0,0,0,0,7.56187,11.83071,0,0,0,0,0,0,0.11452,0.86535,0,0,0,0,11.98312,4.50881,0,0,0,0,1.69331,0,0,0.51627,1.36939,0,0
Parabacteroides_merdae,0,0.68829,1.33569,1.49938,0.44501,0,1.75247,1.26524,0.14982,2.44169,0.86547,2.65259,0,1.19187,0.132,0,0.42117,0,0.00185,2.80661,0,1.41103,1.5641,0.05817,1.03585,0,5.48504,0,0,0.48043,4.5849,0,0.26865,0,0,0,0.41592,1.23071,2.1621,9.5532,9.73423,2.12896,0.2448,0,0,2.08589,7.38146,1.01234,0.52337,0.18254,0.31533,2.1036,9.9663,6.7453,6.53716,2.32318,0.97441,0,0,2.03825,3.4663,0.40376,1.4459,0,0,2.8638,0.22143,0,0,0,0,2.53524,4.22785,0,0,0.21636,0.80998,4.61577,1.82878,0.02821,0.02881,3.10831,0.79482,0,0,0.04295,2.18062,0,0,0,0,0.15266,0.95395,2.27196,0,0,0.01882,0.72226
Bacteroides_fragilis,16.27124,0,0.15333,0.22415,0,0.07389,0,0.4898,0.08061,0,6.6099,0.25743,0.18523,0.57304,0.09975,0,0.82795,0.03576,0,0.02492,8.86376,0,3.48249,0,1.74972,0,0,0,1.41877,9.21967,0,0,0,2.00585,1.66323,0,0,0.29499,1.60456,0.2052,1.11419,0.00689,0,0.01957,0,0,0,0.91853,15.18967,0.278,0.31654,0.0472,0.01473,0.56043,0.32662,3.20348,0,1.49478,5.34333,0.21116,3.80433,0.03335,0.11735,3.0214,0.02382,0.6626,0.56316,0.40629,0.01553,0,0,0.17282,0.35662,2.2132,0.27745,0,0,1.31117,7.07616,0,0,1.55222,0.33786,0.01125,0,0,0,0,0,0.32234,0,0,2.79175,0,0,0,0,0
Bacteroides_dorei,0,0,0,0,0,0,0,24.59655,0,0,0,16.12074,0.06026,9.55399,0.00543,0.34646,0,0,0,0,0,0,0.50182,0,0,0,0,0,0,0,0,0,0.01565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01071,3.08258,0,0,0,0,0,0,4.10524,9.10451,0.90478,1.69623,6.37909,19.49752,0.15178,0.48531,2.94878,5.14425,0,0,0,0,0,0,0,0,0,0,0,0,0.62425,1.33047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruthenibacterium_lactatiformans,0.91517,0.80762,0.89029,1.57928,0.82959,0.21672,0.21655,0.2547,0.72844,0.27689,0.53751,0.87204,0.78138,0.12139,0.12229,0.47171,0.03522,0.44965,0.77437,0.80668,1.46475,3.74421,1.54165,0.91378,1.2208,0.58602,0.34459,1.5724,0.73615,0.06944,2.29909,0.26653,0,0.42024,0.58212,0,0.08529,0.43687,0.3771,0.63814,0.6993,1.65444,1.04157,0,0,0.41919,0.07022,0.86347,0.58528,0.10134,0.22305,0.15596,0.2459,0.09684,0.07706,8.99043,0.12849,1.26355,3.07711,0.05375,0.01056,0.15354,0,3.85725,2.35314,0.29964,0.01877,0.86362,1.70232,1.83686,1.17415,1.16501,0.4999,1.36703,2.31024,0.98727,8.43438,1.36996,1.42732,0.47245,0.41909,0.1184,1.2203,0.45935,0.16675,0,0.05577,0.26527,0.37999,7.68134,5.02871,0.08887,0.04985,4.54409,7.05349,0.36814,0,0.01168
Roseburia_faecis,0.05487,0.19944,0,0,0.86504,0.2932,2.54468,1.51647,0.03736,0,0.96344,0.41055,0.88547,0.12703,0,0,0.2001,0.00548,3.79629,1.5921,0.02571,1.29735,0.09088,0.57531,0.1193,4.03732,0.21073,0,0.53309,0,11.09825,3.47687,4.22846,0.63277,0,0.11353,2.37653,0,0,0,0,2.83647,2.54626,0.37439,0,0.99111,1.40713,4.65302,0.05731,0.33162,0.12671,2.84553,0.39835,2.33208,12.6798,0.17918,0.73874,0.01905,0.31291,0.7976,1.82746,0,0,0,0,0.30102,0.29313,0,1.4675,0,0.16178,1.38801,1.73119,0.66334,0.2174,2.98861,1.5254,0.34601,0.38977,0.1598,0.09355,2.10712,0,2.17453,1.27219,0.60628,0,0.49509,0,0.01704,0.02322,0.25654,0,1.44348,0.26307,0.82762,1.38446,3.12922
Blautia_obeum,0.5438,1.72906,2.43615,0,0.17722,0.85798,0.0163,0,1.5694,0.0571,0.72238,0.09746,0.81965,0.23258,4.78503,5.17442,2.43018,0.62463,0.70737,0.83772,0.3421,0.44296,0.33303,1.41088,0.70742,0.63404,0.208,1.34741,2.19617,0,0,0.33263,1.82001,0.18446,2.13408,0.32037,4.69156,2.56506,2.73942,0,0,0.17169,2.20663,0.44621,0,0.19106,0.44676,0,0,2.41778,3.03093,0.08005,0.08765,0.31838,0.28866,0.71139,1.26929,0.67425,0.59701,0.0548,0.01132,1.58127,2.97356,1.19758,0.80031,1.40781,8.48476,0.57897,0.71473,0.15258,0.09776,0.74073,0.30709,0.12188,0.13036,0.86552,0.96105,0.15329,0.16079,0.08541,0.16961,0.09441,0.03411,1.94987,4.21202,0,0.35556,0.00738,3.09792,0.29477,0.74774,0.86818,0,0,0.08289,2.11515,3.09226,0.77778
Bacteroides_xylanisolvens,0,0.30644,0,2.88474,3.83791,0.11475,0.0088,8.04747,0,1.8978,0.68116,2.01765,0,0.40416,0,0,0.10915,0,0,0.0098,4.3219,0,0,0,6.5268,4.16532,0.54773,0,0,3.15693,4.34878,0,3.50274,0,0,0,0.08916,0,0,4.24096,3.65493,4.3225,0.22518,0.1393,0,0,0,0.95006,0.07676,0,0,1.99837,1.9185,0.95143,0.85507,0.47999,1.08006,0,0,1.00668,0.81158,0,0,0,0,0.09821,0.04612,0,0,0,0,0,0.02221,0.64469,1.59096,0,0,0,0,0,0,10.28155,2.01853,1.76609,2.14541,0.01327,1.07583,0,0,0,0,0.00519,3.05632,3.17421,0,0,0.06447,0.29256
Bacteroides_stercoris,0,2.33939,0.09224,1.22554,0,0.0728,32.57725,0,0,0.3226,0,0,0.0043,0.39125,0,0,0,0,0,0.34781,0,0.84366,0,0,0,0,0.13495,0,3.05672,0,0,0.04471,0.99831,0,0,7.93198,1.60046,0.04525,0.12334,7.12267,3.77699,0,0,0.03271,0,9.86703,7.73515,0,0,0,0,0.15976,2.03556,0,0,0,0,0.9648,0.98622,1.96213,1.15116,0,0,0,0,0,0,0,0,0,0,1.04332,1.75616,0,0,0.36094,0.23839,0,0,0,0,0,0.94027,0,0,0.03974,0.26922,0,0,0.33211,0.29927,0.00943,0,0,0,0.05937,0.03116,0.17017
Bifidobacterium_pseudocatenulatum,0,0,0,4.33477,0,1.8436,0.02593,3.14502,3.29148,0,0,0.31236,0,0.26081,1.77451,2.18536,0,1.54875,3.1401,0,0,0.04215,1.62458,0.15131,1.90626,0,0.02683,8.04886,0,0,0,0.46907,1.85071,0,0,0,0,0,0,1.12144,0.31037,0,0,0.62038,0.11176,0.37658,0.00493,0.75542,4.9808,1.48575,5.62699,0.01125,0.02784,0,0,3.68834,4.05676,0,0,0.14917,0,0.21575,0.19242,0.61098,0.44264,0,0,2.42537,1.91175,2.42075,1.46811,0.00234,0,0,0,0.18736,0.26386,0.67741,0.11653,0.03899,0.05833,0.78684,0.40087,0,0,0.00945,0.04883,7.08407,6.92461,0,0,0.00619,0,0,0.37927,0.17099,4.71637,0.64103
Blautia_wexlerae,0.65327,0.72939,1.49426,8.54265,0.47856,0.50874,0.02836,0.78176,0.47673,0.54324,0.07645,0.03559,0.48306,0.23645,1.35253,0.57584,3.55779,0.79382,0.89383,0.55637,0.74086,0.12714,0.21741,0.84995,0.6526,0.76353,0.09771,0.46511,2.20645,0.46064,0.38107,1.50781,1.52118,0.28115,0.91905,2.60431,0.99422,2.22641,1.03197,2.93454,1.22153,0.42661,2.43565,1.11414,0.14526,0.29835,0.06752,0.79816,0.42331,1.18974,0.56053,0.1076,0.0318,0.16236,0.05733,0.42744,0.41279,0.91614,0.43422,0.18477,0.02635,1.20253,0.959,0.33526,0.30736,3.09928,2.92106,1.10939,0.6457,1.17578,1.13575,1.02629,0.19518,0.89297,0.41563,0.47455,0.28821,0.17501,0.09103,0.21208,0.9789,0.42787,4.1095,2.12032,1.35523,0.12196,0.33518,0.33312,0.38815,0.11484,0.08986,1.64309,0.21818,1.0359,0.30399,2.59784,1.67908,0.66289
